,utterance,bool
741,Then my wife was savagely raped by a whole pack of 'em.,1.0
743, God.,0.0
744," That's right,  and not a one of them went to jail.",0.0
745, Huh.,0.0
746,Tell you what.,0.0
747,They're taking over.,0.0
748,"Hell, it's all you see on TV anymore.",0.0
749,Niggers selling soap.,0.0
750,Niggers selling toothpaste.,0.0
751,Niggers selling automobiles.,0.0
752,"Everywhere you look, it's niggers, niggers, niggers.",1.0
754,"Yeah, wasn't long ago them sum bitches wasn't on no TV.",0.0
755,You're forgetting about Uncle Ben and Aunt Jemima.,0.0
756,Oh! Dang.,0.0
757,I kind of like them niggers.,1.0
759,Rice and pancakes.,0.0
760,"Hey, uh, my name's Ivanhoe, by the way.",0.0
761,Hey. Ron.,0.0
762,"Hey, all you get now is how we gotta cater to them.",0.0
763,"Now, watch your mouth. Yeah.",0.0
764,Don't say this.,0.0
765,Don't say that.,0.0
766,Be nice.,0.0
767,"Hell, they ain't even colored no more.",0.0
768,Negroes. Blacks.,0.0
769, Afro-Americans now.,0.0
770," Yeah, fuck it.",0.0
771,Just call them fucking niggers.,1.0
774,Make it fucking simple.,0.0
775, Niggers.,0.0
776, Niggers.,0.0
777,That's the right idea.,0.0
778,I've been saying this stuff for years.,0.0
779,"Well, you ain't the only one.",0.0
780,It's good to know someone else gets it.,0.0
781,"So, what kind of stuff you guys do?",0.0
782,What kind of stuff we do?,0.0
783,"We, uh. Cross burnings and marches and stuff so people don't fuck with us.",0.0
784,I'm tired of niggers fucking with me.,1.0
786,"Well, then you come to the right place.",0.0
787,Nobody fucks with us.,0.0
788,"Now, how much you know about the history?",0.0
789,Some. I could know more.,0.0
790,We will teach you.,0.0
791,"Yeah, this is fixing to be a big year for us.",0.0
792,How so?,0.0
793, Boom!,0.0
794, All right.,0.0
795,"We're gonna make fireworks, aren't we?",0.0
796,"All right, all right, Ivanhoe, shut your dumb mouth.",0.0
797,"Ivan, shut the fuck up.",0.0
798, Burnt ends.,0.0
799," All right, all right.",0.0
800,That's enough.,0.0
801,Shut your dumb mouth.,0.0
802,Sorry about him.,0.0
803,He drinks too much.,0.0
804,Doesn't know what he's saying.,0.0
805,"Just to be clear, the, uh.",0.0
806,The Organization is strictly nonviolent.,0.0
807,"Oh, nonviolent like that nigger, that dead nigger, Martin Luther Coon.",1.0
809," Yeah, gotcha.",0.0
810, Ron? You mind coming with me?,0.0
811,"Yeah, where to?",0.0
812,You undercover or something?,0.0
813, You ask too many questions.,0.0
814, All right.,0.0
815,"Be friendly, now.",0.0
816,This is family.,0.0
817,All right?,0.0
818,Let's go.,0.0
819,Congrats. You passed the mustard.,0.0
820,How about we go and get that membership process started?,0.0
821, That's it?,0.0
822, That's it.,0.0
823,"Uh, have a seat.",0.0
824,"Go ahead and, uh, fill these out.",0.0
825,Send 'em to the national headquarters.,0.0
826,"Now, once they send you your membership card, you'll be able to participate in all our programs.",0.0
827,Alcoa can't wait.,0.0
828,I love those commercials.,0.0
829,"Imperial tax to become a member, $10 for the year, $15 chapter fee.",0.0
830,Robes and hoods are not included. That's extra.,0.0
831,Fucking inflation.,0.0
832,I can't thank you brothers enough.,0.0
833,This means a lot to me.,0.0
834,Pleasure's all ours.,0.0
835,"You're not a Jew, right?",0.0
836,Jews killed Christ.,0.0
837,Are you trying to offend me?,0.0
838,Protocol.,0.0
839,Course I'm no stinkin' kike.,1.0
840,"All right, look, we gotta ask it, is all.",0.0
841,"But he's not a Jew, all right? Satisfied?",0.0
842,Smells kosher to me.,0.0
843, Stop fucking around.,0.0
844, I fuck straight.,0.0
845, Who you fucking?,1.0
846, Double D!,0.0
847,"All right, both of you, give the man some space.",0.0
848,Jesus Christ.,0.0
849,Let him breathe a little.,0.0
850,"Ron, let me buy you a beer.",0.0
851, Okay.,0.0
852, Come on.,0.0
853,Sorry about these guys.,0.0
854,"They're a little, uh, too friendly sometimes.",0.0
855,They just get excited.,0.0
856,Yeah.,0.0
857, What kind of beer you like?,0.0
858," Coors, if you got it.",0.0
859,That was interesting.,0.0
860,Not exactly the Beverly Hillbillies.,0.0
861,They liked you.,0.0
862,Except for that Felix guy.,0.0
863,Do not ride his bumper like that.,0.0
864,Two car lengths.,0.0
865,You think he got a good look at my face?,0.0
866,Probably.,0.0
867,You get the papers?,0.0
868,They want you to join.,0.0
869,"Technically, they want you to join.",0.0
870,Yeah.,0.0
871,"Yeah, they want a black man to join the Ku Klux Klan.",0.0
872,I'd say that's mission impossible.,0.0
873,Double success.,0.0
874,We're in!,0.0
875,"Slow down, brother.",0.0
876,Slow down.,0.0
877,And exactly how much should we be worried about them?,0.0
878,Enough that we'd like to dig deeper.,0.0
879,"One of the men discussed plans for a possible attack, so.",0.0
880,I wouldn't give him that much credit.,0.0
881,These guys like to boast.,0.0
882,What kind of attack?,0.0
883,"Uh, Ivan.",0.0
884,"Ivanhoe said ""boom,"" mentioned something about fireworks.",0.0
885,"But personally, I didn't buy it.",0.0
886,I doubt they're even capable.,0.0
887,"Either way, at this point, we're looking for full support from the department on this, Sarge.",0.0
888,Let's move on with the investigation.,0.0
889,Let's try to find out if they are capable of anything.,0.0
890,Okay.,0.0
891," Thank you, Sarge.",0.0
892, You got it.,0.0
893,"When we dropped Brother Kwame off at the airport, he told me that the Black Power movement needed strong sisters like me to lead the fight against capitalist oppression and the politicians and pigs who perpetuate it.",0.0
894,His words almost made that whole pig nightmare worthwhile.,0.0
895,What's wrong?,0.0
896,What do you mean?,0.0
897,What's wrong?,0.0
898,I don't really use that word.,0.0
899,What word?,0.0
900,"""Pigs."" Well, what else would you call them?",0.0
901,Cops.,0.0
902,Police.,0.0
903,Officers.,0.0
904,A bunch of racist cops on a power trip.,0.0
905,"So, you think all cops are racist?",0.0
906,It only takes one to pull a trigger on an innocent sister or brother.,0.0
907,Hmm.,0.0
908,Why were you at Brother Kwame's speech?,0.0
909,He's got some good ideas.,0.0
910,"I don't agree with all of them, but he's a smart brother, definitely worth hearing.",0.0
911,Are you down for the liberation of black people?,0.0
912,Do we always have to talk politics?,0.0
913,What's more important?,0.0
914,Do you ever take time off?,0.0
915,No. It's a lifetime job.,0.0
916,"Sister Angela Davis, most righteous sister, can we please spend some quality time together?",0.0
917,And what did you say your J-O-B is?,0.0
918,"Sister Kathleen Cleaver, I didn't.",0.0
919,Are you a pig?,0.0
920,Excuse me?,0.0
921,Are you a pig?,0.0
922,You mean a cop?,0.0
923,Are you a cop?,0.0
924,No.,0.0
925,I'm in construction.,0.0
926,"But more importantly, I'm a black man who wants to get to know a strong, intelligent, beautiful sister.",0.0
927,The very one I'm looking at right now.,0.0
928,You dig?,0.0
929,Sure enough.,0.0
930,That's what I'm talking about.,0.0
931,Power to the people.,0.0
932,All power to all the people.,0.0
933," That's right, sister.",0.0
934," Right on, right on.",0.0
935, This is Walter.,0.0
936, Ron here.,0.0
937,This is Ron?,0.0
938,"Sorry, your voice sounds different over the phone.",0.0
939,Uh.,0.0
940,My allergies.,0.0
941,Allergies acting up again.,0.0
942,I get those all the time.,0.0
943,"Listen, wanted to tell you that it was a real pleasure to have you swing by.",0.0
944,I think the brothers really took a liking to you.,0.0
945,I'm honored.,0.0
946,"If you're free Saturday, why don't you swing by Felix's.",0.0
947,You can meet the rest of the brotherhood. Hmm?,0.0
948,Sounds good to me.,0.0
949,"Well, I will see you then.",0.0
950,I've got a friend.,0.0
951,"He, uh, keeps up with these groups.",0.0
952,"He says they're moving away from the old violent, racist style.",0.0
953,"So, that's what Duke is peddling now.",0.0
954,"It's, uh, becoming mainstream.",0.0
955, Duke?,0.0
956, David Duke.,0.0
957,Current grand wizard of the Klan.,0.0
958,"But he's always in a three-piece suit, never seen in a hood or robe in public, and he now goes by ""national director."" So he's clearly got his sights on higher office.",0.0
959, Politics? How so?,0.0
960, Yeah.,0.0
961,Think it's another way to sell hate.,0.0
962, Keep going.,0.0
963, Think about it.,0.0
964,"Affirmative action, immigration, crime, tax reform.",0.0
965,Mmm.,0.0
966,He says no one wants to be called a bigot anymore.,0.0
967,I guess Archie Bunker made that too uncool.,0.0
968,"So the idea is, under all these issues, everyday Americans can accept it, support it, until eventually, one day, he gets somebody in the White House that embodies it.",0.0
969,Sarge.,0.0
970,Come on.,0.0
971,America would never elect somebody like David Duke president of the United States of America.,0.0
972,"Coming from a black man, that's pretty naive.",0.0
973,Why don't you wake up?,0.0
974,"Ron, hi. I'm Connie, Felix's wife.",0.0
975,It's so nice to meet you.,0.0
976,Oh.,0.0
977, Want to come right in?,0.0
978, Sure.,0.0
979," Do you mind if I, uh, smoke in there?",0.0
980," Oh, not at all.",0.0
981,"I'm telling you, a war's a-coming.",0.0
982,That'll be the end of the purified white race  as we know it.,0.0
983, They're right inside.,0.0
984,Just make yourself right at home.,0.0
985,It's time we go on the offensive.,0.0
986, We gotta make sure that everybody.,0.0
987," Hey, man.",0.0
988," Hello. Hey, fellas.",0.0
989, Welcome. Welcome.,0.0
990,"This is Ron, everybody.",0.0
991, Mr. Stallworth.,0.0
992, All right.,0.0
993, That's Mike.,0.0
994," Hey, Mike. How are you? Ron.",0.0
995, Scott in the back.,0.0
996, Ron. How are you.,0.0
997, Jesup.,0.0
998, Hey. How are you?,0.0
999," Ron, why don't you have a seat.",0.0
1000," Sorry to interrupt, but I brought some cheese dip and crackers.",0.0
1001,Would you like some?,0.0
1002," Thanks, honey.",0.0
1003, Thank you.,0.0
1004, Walter?,0.0
1005, Make them remember who we are and what we stand for.,0.0
1006,We are the Organization.,0.0
1007, We have to.,0.0
1008, Oh! Oh! Oh! I read something in the Gazette that this nigger named Carmichael held a rally and that some college nigger girl from the Baboon Student Union was attacking our police.,1.0
1010,"I mean, this girl is dangerous.",0.0
1011,"She's like that Commie, Angela Davis.",0.0
1012,And I just.,0.0
1013,I think we should shut her mouth.,0.0
1014,Here.,0.0
1015,I cut the article.,0.0
1016,That'll be all.,0.0
1017,"Love you, sweetie.",0.0
1018,"Someday, you're going to need me to do something for you.",0.0
1019,Just wait and see.,0.0
1020,And I will be right in here.,0.0
1021,"Why don't we, uh, get back to our bread and butter.",0.0
1022,"Let's talk about the next cross burning, which, Ron, you'll be lucky enough to attend if your membership comes in time.",0.0
1023,It'll be a tremendous honor.,0.0
1024, The highest hills get the most eyes.,0.0
1025, Yeah.,0.0
1026,Prove you can read.,0.0
1027,"""Friday night last week, ""the Colorado College Black Student Union."" Hey, Ron.",0.0
1028,I gotta show you something.,0.0
1029,""".hosted a controversial talk featuring Stokely Carmichael ""at Bell's Nightingale nightclub."" ""Black Student Union."" ""Black Student."" That go together to you?",0.0
1030,That sounds fucking weird to me.,0.0
1031,Lookie here.,0.0
1032,Wow. This is really something.,0.0
1033,Here's my favorite.,0.0
1034,12-gauge.,0.0
1035,I call this the Jew Killer.,0.0
1036,I call it a Remington Model 1900.,0.0
1037,"Indeed, it is.",0.0
1038,Okay.,0.0
1039,We about done here?,0.0
1040,We got a few more items on the.,0.0
1041,Not just yet.,0.0
1042,Gotta make sure there's no Jew in him.,0.0
1043,"All right, now you're just being offensive.",0.0
1044,Okay? We're talking about someone who's gonna be our brother in a few months.,0.0
1045,You see a Star of David around his neck?,0.0
1046,Is there a yarmulke on Ron's head?,0.0
1047,Just protocol.,0.0
1048,"My house, my rules.",0.0
1049,This way.,0.0
1050,Where we going now?,0.0
1051,I gotta show you something.,0.0
1052,Tough titty.,0.0
1053,"It's not necessary, Felix.",0.0
1054,This is how we lose recruits.,0.0
1055,You are going to take this lie detector test.,0.0
1056, Take a seat.,0.0
1057, What is this?,0.0
1058,Is this your Jew den?,0.0
1059,"Is this where you make your candles, you know, and your lampshades?",0.0
1060,"No, you're gonna take this lie detector test.",0.0
1061,Open the damn door.,0.0
1062,This is some lame bullshit.,0.0
1063,"Lame or not, you're taking this Jew lie detector test.",0.0
1064, Sit down.,0.0
1065," Okay, Felix.",0.0
1066,"Out of respect for this Organization, I'll play along with your little Get Smart bullshit, but I'm no fucking Jew.",0.0
1067,Sit down.,0.0
1068,Ask anybody.,0.0
1069,They'll say I'm a real friendly guy.,0.0
1070,"Thing is, I'm only friendly to my friends.",0.0
1071,Not Jew friendly.,0.0
1072,Damn sure not nigger friendly.,1.0
1073," Me, neither.",0.0
1074, Know what I think?,0.0
1075, You think?,0.0
1076," Oh, yeah, I think.",0.0
1077,What do you think about?,0.0
1078,This Holocaust stuff never happened.,0.0
1079,That's the biggest Jewish conspiracy ever.,0.0
1080,Eight million Jews killed?,0.0
1081,Concentration camps?,0.0
1082,Never happened.,0.0
1083, Where's the proof?,0.0
1084, Are you high?,0.0
1085,I don't get high.,0.0
1086,I drink.,0.0
1087,'Cause I'd say the Holocaust is one of the most beautiful things I've ever seen.,0.0
1088,It just makes sense to me.,0.0
1089,You have a whole race of leeches that you have to get rid of.,0.0
1090,"So, what do you do? You starve them, you burn them, you get rid of them.",0.0
1091,It's like weeding out roots for the better people.,0.0
1092, Haven't you seen the footage?,0.0
1093, That's fake.,0.0
1094,Jews run Hollywood.,0.0
1095,Fucking hell.,0.0
1096,Let me see your dick.,0.0
1097,You gonna shoot me?,0.0
1098,Put that gun away.,0.0
1099,I hear you Jews do something funny with your dicks.,0.0
1100,Some weird Jew shit.,0.0
1101, Is your dick circumstanced?,0.0
1102," Oh, is that what this is about?",0.0
1103,"You're trying to see my big Jew dick, you fucking faggot.",1.0
1108,"Who you calling a fucking faggot, Jew faggot?",1.0
1111,"Now, put that fucking strap on your arm.",0.0
1112,Put it on your arm!,0.0
1113,Oh!,0.0
1114, Felix!,0.0
1115," Connie, what's wrong?",0.0
1116,Felix! Felix!,0.0
1117," Connie! Connie, what's wrong?",0.0
1118, Felix! Felix!,0.0
1119, Connie!,0.0
1120, There's a black lawn jockey on our green lawn!,0.0
1121, Felix!,0.0
1122," I'm coming to you, honey!",0.0
1123," Shit, shit.",0.0
1124, Felix!,0.0
1125,Kill that son of a bitch!,0.0
1126,"Yeah, keep driving, you black spear chucker,  piece of shit nigger!",1.0
1128, That son of a bitch!,0.0
1129,"Fucked up the window, man.",0.0
1130,Still want me to take your Jew detector test?,0.0
1131,Everybody back in the house!,0.0
1132,Back in the house now!,0.0
1133, Shit.,0.0
1134," Connie, you okay?",0.0
1135, You okay? Back in the house.,0.0
1136, That's why we gotta get stronger.,0.0
1137, That's some bullshit!,0.0
1138," Back in the house, honey.",0.0
1139,That's what I've been telling all you boys.,0.0
1140,We need more guns!,0.0
1141,Lie detector?,0.0
1142,Shots fired?,0.0
1143,You fucking kidding me?,1.0
1144,It's a goddamn clusterfuck.,0.0
1145,You dickheads are fucking with me.,0.0
1146,You're jerking my chain.,0.0
1147,You're jerking my chain.,0.0
1148,I'm getting a reach-around from the Chief.,0.0
1149,It's a big fucking circle jerk!,0.0
1150, That's funny?,0.0
1151," No, sir.",0.0
1152,"'Cause if Bridges hears about this, this whole fucking operation's going to be closed down.",0.0
1153,"Yeah, that's funny.",0.0
1154,And I'm going to be a fucking school crossing guard in fucking the ghetto of Five Points!,0.0
1155,"I mean, is he gonna hear about it, Sarge?",0.0
1156,Cocksuckers.,0.0
1157,Hear about what?,0.0
1158,"Hey, guys.",0.0
1159,"Charles, can you give us five, please?",0.0
1160,Sure.,0.0
1161,"I didn't want to say it with Trapp, but that peckerwood had a gun in my face, and he was an ass hair away from pulling the trigger.",0.0
1162, And he didn't.,0.0
1163, But he could have.,0.0
1164,And then I would have been dead.,0.0
1165,For what?,0.0
1166,Stopping some jerk-offs from playing dress-up?,0.0
1167," Flip, it's intel.",0.0
1168," Well, I'm not risking my life to prevent some rednecks from lighting a couple sticks on fire.",1.0
1169,This is the job.,0.0
1170,What's your problem?,0.0
1171,That's my problem.,0.0
1172,"For you, it's a crusade.",0.0
1173, Mmm-hmm.,0.0
1174," For me, it's a job.",0.0
1175,"It's not personal, nor should it be.",0.0
1176,Why haven't you bought into this?,0.0
1177, Why should I?,0.0
1178," Because you're Jewish, brother.",0.0
1179,The so-called chosen people.,0.0
1180,You've been passing for a WASP.,0.0
1181,"White Anglo-Saxon Protestant, cherry pie, hot dog, white boy.",1.0
1182,Hmm.,0.0
1183,It's what some light-skinned black folks do.,0.0
1184,They pass for white.,0.0
1185,"Doesn't that hatred you've been hearing the Klan say, doesn't that piss you off?",0.0
1186, 'Course it does.,0.0
1187," Then why you acting like you ain't got skin in the game, brother?",0.0
1188,"Rookie, that's my fucking business.",0.0
1189,It's our business.,0.0
1190,"Now, I'm going to get you your membership card so you can go to the cross burning  and get in deeper with these guys.",0.0
1191, Okay.,0.0
1192,"Right, partner?",0.0
1193,"Wake up, white man.",0.0
1194,The Negro wants your  white woman and your job.,0.0
1195, Sorry. I'm sorry. Let me.,0.0
1196,"The Jew wants your money, and this you.",0.0
1197,"Sorry, who am I talking to?",0.0
1198,"This is Ron Stallworth calling from Colorado Springs, Colorado.",0.0
1199,"How are you today, sir?",0.0
1200,I'm quite well. Thank you.,0.0
1201,"Uh, what can I do you for?",0.0
1202,"I desperately want to participate in my chapter's honorary events, but I can't until I receive my membership card.",0.0
1203,Of course that's something I can help you with.,0.0
1204,"Great. Um, who am I speaking with?",0.0
1205,This is David Duke.,0.0
1206,Did you just say your name was David Duke?,0.0
1207,Last time I checked.,0.0
1208,Grand wizard of the Ku Klux Klan?,0.0
1209,That David Duke?,0.0
1210,"Yes, that grand wizard and national director, yeah.",0.0
1211,"National director, too, huh?",0.0
1212,"Yes, you're darn tooting.",0.0
1213,That's amazing.,0.0
1214,"I'm honored to be speaking with you, sir.",0.0
1215,I'm not afraid to say it.,0.0
1216,I consider you a true white American hero.,0.0
1217,Is there any other kind?,0.0
1218,"No, sir.",0.0
1219,I'm just happy to be talking to a true white American.,0.0
1220,Amen.,0.0
1221,It seems like there's less and less of us out there these days.,0.0
1222, Mmm.,0.0
1223, Mmm.,0.0
1224,"Now, about that membership card.",0.0
1225,"Yeah, Ron, I understand the situation.",0.0
1226,"Uh, we've had some administrative problems here.",0.0
1227,It's caused a little bit of a backlog.,0.0
1228,"Tell you what, I'm gonna see to it personally that your membership card is processed, approved and sent out today.",0.0
1229,How's that sound?,0.0
1230,"Thank you, sir.",0.0
1231,I can't express to you how much this means to me.,0.0
1232,"Ron, please.",0.0
1233,Pleasure's all mine.,0.0
1234,"I look forward to hopefully meeting you in person one day, and, uh.",0.0
1235,"Well, God bless white America.",0.0
1236," God bless white America, sir.",0.0
1237," Okay, take care.",0.0
1238,Excuse me.,0.0
1239,Watch where you're going.,0.0
1240,"You could get hurt like that, hot shot.",0.0
1241,"The cop that pulled Kwame Ture over that night, was it Landers?",0.0
1242,How'd you know?,0.0
1243,I can smell them a mile away now.,0.0
1244,"What, do you got Smell-O-Vision?",0.0
1245,He's been a bad cop for a long time.,0.0
1246, Yeah?,0.0
1247, Yeah.,0.0
1248,"Few years ago, he shot and killed a black kid.",0.0
1249, Jesus.,0.0
1250," He said he had a gun, but he wasn't that type.",0.0
1251,Why do you guys tolerate this?,0.0
1252,You want to be the guy that rats him out?,0.0
1253,You want to go to Landers' office now?,0.0
1254,'Cause we're a family.,0.0
1255,"And right or wrong, we stick together.",0.0
1256,That reminds me of another group.,0.0
1257,"That's a bull's-eye, Ron.",0.0
1258,You guys heard about this Hide N Seek room?,0.0
1259,"Here, you got a decent bar turned into a filthy fag bar overnight.",1.0
1260,Fucking fags everywhere these days.,1.0
1262,They're trying to colonize.,0.0
1263,"You know, first they get their own bars, then they want equal treatment.",0.0
1264,Forget those fags.,1.0
1266,Those guys Army-trained?,0.0
1267,"A lot of us are, yeah.",0.0
1268,Fort Carson myself.,0.0
1269," God, I wish I had a scope on this thing.",0.0
1270, Never seen those Macs before.,0.0
1271, Steve and Jerry?,0.0
1272," Yeah, who are they?",0.0
1273,That's classified information.,0.0
1274,"Hey, Ron. I want to see what you can do  with my.45.",0.0
1275, All right.,0.0
1276,"Yeah, maybe you'll get that nigger next time.",1.0
1278,Ooh.,0.0
1279,Fifty bucks?,0.0
1280, You got it.,0.0
1281, I'll take that bet.,0.0
1282,"Fuck, how about ten?",0.0
1283, Son of a bitch!,0.0
1284," All right, where's my money?",0.0
1285, Where'd you learn to shoot like that?,0.0
1286, Not bad. Hot damn.,0.0
1287,"Well, my old man bought me a toy cap gun when I was a kid, and been shooting ever since.",0.0
1288, That's a hell of a cap gun.,0.0
1289, He can shoot.,0.0
1290," All right, let's go.",0.0
1291, Damn.,0.0
1292,Pack it up.,0.0
1293,"Ron Stallworth, motherfucker.",0.0
1294,"Hey, Walter.",0.0
1295,"Hey, I'm better than I used to be, right?",0.0
1296, I'm gooder than I was.,0.0
1297," You're definitely doing a little bit better, but I don't think ""gooder"" is a word, but you're doing real good.",0.0
1298,And Bernie Casey.,0.0
1299, Ooh. Bernie Casey.,0.0
1300, Brother's strong.,0.0
1301,But Cleopatra Jones is the one.,0.0
1302,It's about time we started seeing a strong sister like that.,0.0
1303,"Well, Tamara Dobson did play a cop, right?",0.0
1304,"It's a black exploitation film, which is a fantasy.",0.0
1305,Real life's not like that.,0.0
1306,Real life is no Cleopatra Jones or Coffy.,0.0
1307,"What, you don't dig Pam Grier?",0.0
1308,She's fine as red wine and twice as mellow.,0.0
1309,"Pam Grier is doing her thing, but in real life, it's just pigs killing black folks.",0.0
1310,What if there was a cop trying to change that?,0.0
1311,From inside?,0.0
1312,"Yes, from inside.",0.0
1313,You can't change things from the inside.,0.0
1314,It's a racist system.,0.0
1315, You just give up like that?,0.0
1316, No.,0.0
1317,"We fight for what black people really need,  black liberation.",0.0
1318," Right, right.",0.0
1319," So, can't you do that from the inside?",0.0
1320," No, you can't.",0.0
1321,The white man won't give up his position in power without a struggle.,0.0
1322,What did Du Bois say about double consciousness?,0.0
1323,Twoness?,0.0
1324,Being an American and a Negro?,0.0
1325,Two warring ideals inside one dark body.,0.0
1326,"That's heavy, Patrice.",0.0
1327,"I feel that, like I'm two people all the time.",0.0
1328,But you shouldn't have to be.,0.0
1329,We shouldn't have a war going on inside ourselves.,0.0
1330,We should just be black.,0.0
1331,"We're not there yet, though.",0.0
1332,"Well, I'm tired of waiting.",0.0
1333,I got a serious question for you.,0.0
1334," Oh, yeah? What?",0.0
1335, Very serious.,0.0
1336,Uh-huh.,0.0
1337,Shaft or Super Fly?,0.0
1338, What?,0.0
1339, Pick one.,0.0
1340,A private detective over a pimp any day and twice on Sundays.,0.0
1341,All right.,0.0
1342,Ron O'Neal or Richard Roundtree?,0.0
1343,Richard Roundtree.,0.0
1344,Pimps ain't heroes.,0.0
1345,"Well, Ron O'Neal isn't a pimp, although he played the hell out of one.",0.0
1346,That image does damage to our people.,0.0
1347,"Geez, it's a movie.",0.0
1348,Give it a rest.,0.0
1349,I can't let it rest.,0.0
1350,You jive turkey.,0.0
1351," Who you calling jive turkey, jive turkey?",0.0
1352, I'm calling you a jive turkey.,0.0
1353,I got a Tamara roundhouse coming.,0.0
1354, Jive turkey.,0.0
1355, It's coming.,0.0
1356, It's coming around.,0.0
1357, Get out of here with that!,0.0
1358,Jive turkey.,0.0
1359,Wrong address.,0.0
1360,"Sorry to bother you, sir.",0.0
1361,Have a good night.,0.0
1362,Hello?,0.0
1363,Hey.,0.0
1364,"Sorry, had to work late.",0.0
1365,How are you guys doing?,0.0
1366,"Got a beer for you, Mr. Stallworth.",0.0
1367, Thanks.,0.0
1368, You got a twin.,0.0
1369, What?,0.0
1370, You got a twin.,0.0
1371,Twin what?,0.0
1372,A twin twin.,0.0
1373,And your twin is a nigger.,1.0
1376,Looked in the phone book.,0.0
1377,Went over to what I thought was his place.,0.0
1378,I found a nig there.,0.0
1379,"Well, my number's unlisted.",0.0
1380,What address did you go to?,0.0
1381,Over on Bluestem Lane.,0.0
1382,Bluestem Lane?,0.0
1383,"No, I live on 21st Street.",0.0
1384,What'd I tell you? Hmm?,0.0
1385,Nothing to worry about.,0.0
1386,"So, you don't know that nigger?",1.0
1388,Oh! That's that nigger I keep in the woodpile.,1.0
1390,You're right. I thought you were talking about somebody else.,0.0
1391,"No, I don't.",0.0
1392,1813 South 21st Street.,0.0
1393,Come by sometime.,0.0
1394,We'll have a beer.,0.0
1395,And you know what?,0.0
1396,"That loudmouth Black Student Union bitch that's been in the papers complaining about the police, she was there.",0.0
1397,That fucking cunt?,1.0
1398,Like to close those monkey lips permanently.,0.0
1399,"Hey, don't say that.",0.0
1400,Not until I get her lips around the head of my dick.,0.0
1401,Can we play some goddamn poker now?,0.0
1402,Are you done?,0.0
1403,"Ron Stallworth, you enter.",0.0
1404,You entertain me.,0.0
1405,"Entertain me a lot more than that one-eyed nigger, Sammy Davis, Jr.",1.0
1406,"I'll say that, though.",0.0
1407,They can dance.,0.0
1408,They can dance.,0.0
1409,I'll give them that.,0.0
1410,About all I'll fucking give them.,0.0
1411,We've got active-duty soldiers from Fort Carson.,0.0
1412,Going to CID with that.,0.0
1413,"Two mystery boys, Steve and Jerry.",0.0
1414,Those are those fishy Army guys I was telling you about.,0.0
1415,Old Klan crew.,0.0
1416,Felix's old Klan crew.,0.0
1417,Your buddy.,0.0
1418,New Klan Walter.,0.0
1419,Walter's a general without an army.,0.0
1420,Felix's crew is stronger than his.,0.0
1421,"Oh. Of course, Felix's wife, Connie.",0.0
1422,It's crazy you've been talking to David Duke.,0.0
1423,My ace boon coon running partner.,1.0
1424,"Now that we got this, though, Ronny boy, I'm telling you, we're on a roll, baby.",0.0
1425,This is it.,0.0
1426, Holy shit.,0.0
1427, Yeah.,0.0
1428,"""Ron Stallworth, member in good standing for the year.",0.0
1429,"""Knights of the Ku Klux Klan."" That's us.",0.0
1430,Stallworth Brothers.,0.0
1431,"Yeah, well, you don't have that little psychopath, Felix, staring at you, asking where you live.",0.0
1432,"I'm Jewish, yes, but I wasn't raised to be.",0.0
1433,It wasn't part of my life.,0.0
1434,I never thought much about being Jewish.,0.0
1435,Nobody around me was Jewish.,0.0
1436,"You know, I wasn't going to a bunch of Bar Mitzvahs.",0.0
1437,I didn't have a Bar Mitzvah.,0.0
1438,I was just another white kid.,0.0
1439,And now I'm in some basement denying it out loud.,0.0
1440,I never thought much about it.,0.0
1441,Now I'm thinking about it all the time.,0.0
1442,About rituals and heritage.,0.0
1443,Is that passing?,0.0
1444,"Well, then I have been passing.",0.0
1445,I don't want that.,0.0
1446,It sounds like they're watching us.,0.0
1447,I don't know.,0.0
1448,I was asleep. I don't know.,0.0
1449,I don't know what we're supposed to do.,0.0
1450,Look at this bullshit.,0.0
1451,Where'd you find these?,0.0
1452,"Plastered all over my windshield, but they're all over the neighborhood, too.",0.0
1453,Is this real?,0.0
1454,Real as can be.,0.0
1455,Intimidation?,0.0
1456,"Clearly, this is about the Black Student Union and you.",0.0
1457, Me?,0.0
1458," Well, you've been outspoken about the incident with the police when Brother Kwame was here.",0.0
1459,"So, next, they'll have a burning cross out front?",0.0
1460,"All right, they're just trying to get to you.",0.0
1461,"Intimidate, like you said.",0.0
1462,Fear tactics.,0.0
1463,"If you don't let 'em scare you, they got nothing.",0.0
1464,But keep your eyes open.,0.0
1465,"Be cool, okay?",0.0
1466,That's the damn problem.,0.0
1467,We always too cool.,0.0
1468,Way too cool.,0.0
1469,"Well, maybe we should call the police.",0.0
1470,How we know this ain't some of the KKK's honky-pig partners passing out this shit?,0.0
1471,Let me ask you.,0.0
1472,Excuse us.,0.0
1473, Let me ask you something.,0.0
1474, Excuse us for what?,0.0
1475,"""Cool."" Want me to be cool?",0.0
1476,I'll be cool.,0.0
1477,"And it also safeguards against the CSPD, which is nice.",0.0
1478,Yeah.,0.0
1479,"Yeah, you soak the wood in kerosene and light a cig on a pack of matches.",0.0
1480,It kind of buys you some time to get the fuck out before the cross catches fire.,0.0
1481,Yeah.,0.0
1482,Must be quite a sight.,0.0
1483,"Oh, yeah, it is.",0.0
1484,It's great.,0.0
1485,It's a real bonfire.,0.0
