,utterance,annotation_algo
810,I've gotta go down and get it.,
811,Argh! Norman Bates!,
812,Miss Hillard?,
813," Yes, dear?",
814, I take sugar in my tea.,
815,"Oh, your tea!",
816,I'll be right there with your tea!,
817,"Coming right up, dear!",
818,"Sugar - one lump or two, dear?",
819," Two, please!",
820," Tea, sugar, hot water.",
821,You got it - argh!,
822,"Coming right your way, dear!",
823,I'll be right there with your tea!,
824,No! Stop!,
825,Stop!,
826,No!,
827,Oh. shit!,
828,Ow! Ohhh!,
829, Can I give you a hand?,
830," Oh, no, dear! I don't need a hand.",
831,I need a face. A face.,
832, Are you sure?,
833," Oh, definitely!",
834,I'm not a Muslim.,
835,"I need a face. A face. Oh, God.",
836,Miss Hillard? The water's boiling.,
837, Hello!,
838, Argh!,
839,"Oh, I'm sorry to frighten you, dear.",
840,I must look like a yeti in this get-up.,
841,This is my nightly meringue mask.,
842,Part of my beauty regimen.,
843,"It's basically egg whites, crème fraîche, powdered sugar, vanilla and a touch of alum.",
844,"There you go, dear. Oh! You've got your cream and sugar. It's a little cappu-tea-no.",
845,One drop or two? Would you like another?,
846,"Oh! There you go!  As you can see, I can't stay with you, dear.",
847,I'm melting like a snow cone in Phoenix.,
848,There we go again! I'll go get Danny.,
849,He'll be right with you. Hold on.,
850, Danny!,
851,"  Coming, sis!",
852, It was lovely to have met you!,
853, Lovely to meetyou.,
854, Had a little accident.,
855, Be careful this time. She's an old woman.,
856,Why wasn't I an only child?,
857,"( ""Papa's Got a Brand New Bag"" by James Brown) He ain't too hip 'Bout that new breed thing Ain't no drag Papa's got a brand new bag Come here, Mama And dig this crazy scene He's not too fancy But his mind is pretty clean  Sorry.",
858, That's quite all right.,
859,He ain't no drag Papa's got a brand new bag Hey! Come on Ready? OK.,
860, Did you have fun in school?,
861, Uh-huh.,
862, What did you do?,
863, I painted a picture of a bunny.,
864, .and the teacher liked it.,
865, She did?,
866,Uh-huh.,
867,"Here it is, Mel. $1,000 worth of hair.",
868,What am I supposed to do with it?,
869," Alan, I was wondering if.",
870, You want one of them?,
871, I'd rather make a coat for my wife.,
872,"  All right, everyone.",
873,It's time to expand your minds.,
874, It's homework time. OK?,
875," Yeah, but. after Dick Van Dyke.",
876,No. Now.,
877,No.,
878,We always watch Dick Van Dyke.,
879,"Really? Well, not any more.",
880,The only thing you'll be watching is Deep Sea-N-N.,
881,"Now,.",
882,.I know you're used to loosey-goosey.,
883,But I run a much tighter ship.,
884,"Between the hours of 3pm and 7pm, I'm in charge.",
885,"And when I'm in charge, you will follow a schedule.",
886,Those who do not follow the schedule will be punished.,
887,  Punished?,
888, She's lying.,
889,She'd never punish us.,
890,Don't. fuss with me.,
891,This is exploitation. It's not fair.,
892," Shut up, Lydie.",
893, Yeah. You got us into this.,
894,"Ooh, my little ankle-biters.",
895,Do I sense dissension in the ranks?,
896,"Are we ready for homework, or shall we continue manual labour?",
897, No. Anything but this.,
898," Then upstairs, my little nose-miners.",
899,Go. Flee before me!,
900,Onward and upward!,
901,Go pump some neurons.,
902,Expand your craniums.,
903, I miss Dad.,
904," Me, too.",
905,Me most.,
906,"I'm here, guys.",
907,In some form.,
908,Let's see.,
909,OK. Pinch of basil.,
910,Oh! Damn!,
911,Aaagghh!,
912,Mayday!,
913,"Oh, God! It's gonna blow!",
914,"Easy, easy.",
915,Damn. Calm down.,
916,Oh. Oh. Come on.,
917,"Hey, hey, hey. How is it?",
918,"Oh, my God. It's clotted. Oh, God.",
919,This hollandaise smells like burnt rubber.,
920,"God, it's hot in here.",
921,Aarghh! Aarghh! Aarghh!,
922,Ohh!,
923,Agh! Look at this!,
924,My first day as a woman and I'm getting hot flashes.,
925," Hey, here's your food.",
926, How much is it?,
927, 135.27.,
928, 135 dollars? That's certainly.,
929, And 27 cents.,
930, 27 cents.,
931,Four dinners. 20 bucks extra for rushing us.,
932,"Rushing? Well, you could have been a little bit faster, dear.",
933, There's. 140. Do you have change?,
934, No.,
935,I thought you wouldn't.,
936,Thank you very much.,
937,Hello!,
938,Hello! Anybody home?,
939, Where were you guys?,
940," Upstairs, doing our homework.",
941,Mrs Doubtfire said we had to.,
942," Oh, she did, huh?",
943, Mm-hm.,
944,Doing your homework. How great!,
945, Hi.,
946," Hi, honey.",
947,Look at this place! It looks wonderful!,
948,All spick-and-span.,
949,Wow!,
950,"Dinner is served, madam.",
951,How lovely!,
952,Mrs Doubtfire?,
953,"Lydia, dear. Get back inside right now before you freeze.",
954,Look. I just want to apologise for being such a pain today.,
955," Oh, dear, it's all right.",
956," No, I'm really sorry.",
957,It's just. I'm still kind of messed-up.,
958,about everything.,
959,"We all are, sweetie.",
960,What?,
961,I just mean I understand the pain you're all going through.,
962,Yeah.,
963,Well. I also wanted to thank you.,
964, For what?,
965, For making my mom so happy.,
966,Oh.,
967,She hasn't been in this good a mood since.,
968,I can't even remember.,
969,It's been a long time.,
970, It has?,
971, Yeah.,
972,"Well, I gotta go back in, but.",
973," Go, go, go.",
974, OK. Thank you.,
975,You're welcome.,
976, Bye.,
977, Bye.,
978,Thank you.,
979,"Oh, no.",
980,"Well, milady! It's a pleasure to see you again!",
981,"A joy, as always.",
982,I like that Mediterranean look in women.,
983,Natural. Healthy.,
984,Just the way God made ya.,
985,"He broke the mould when he made me, dear.",
986,He made me very special.,
987,He sure did.,
988,Bless you.,
989,"Yeah, yeah Dude looks like a lady Yeah, yeah Dude looks like a lady Yeah, yeah Dude looks like a lady Never judge a book by its cover Or who you gonna love by your lover Say, love put me wise to her love in disguise She had the body of a Venus Lord, imagine my surprise Yeah, yeah Dude looks like a lady Yeah, yeah Dude looks like a lady Yeah, yeah Dude looks like a lady Yeah, yeah Dude looks like a lady Cruised into a bar on the shore Her picture graced the grime on the door She's a long-lost love at first bite Baby, maybe you're wrong but you know it's all right I am not a crook. I am not a crook.",
990,"""She kissed Stuart and thanked him.""  ""'How was it down there?' asked Mr Little,.",
991,".who was always curious to know about places he'd never been to."" ""'lt was all right,' said Stuart."" What a funky lady Oh, she like it, like it, like it, like it Ooh, he was a lady Yeow Yeah, yeah Dude looks like a lady Yeah, yeah Dude looks like a lady Yeah, yeah Dude looks like a lady.",
992,"Back off, asshole!",
993,Beat it!,
994,"Broke my bag, the bastard.",
995,Lover boy's here.,
996,What a beautiful little car for Don Juan.,
997,So sad when that happens!,
998,"It was ourjunior year in college, and your mother got asked to design this big float.",
999, I wasn't that young.,
1000,That's my picture.,
1001,"   .flying out everywhere, hit you in the face.",
1002,  That's not true!,
1003, It was like 'Jaws'.,
1004, Isn't that the pretty picture!,
1005, Oh. Mrs Doubtfire.,
1006,"Miranda. What a pleasant surprise to see you home so early, dear.",
1007, And who is your gentleman caller?,
1008, This is Stu.,
1009, He just wanted to come and meet the kids.,
1010," Oh, did he?",
1011,"Ah, this must be the famous Mrs Doubtfire.",
1012,It's a pleasure to meet you.,
1013,"Yes, well. Miranda's been raving about you.",
1014, Odd. She's never mentioned you.,
1015, No?,
1016, No.,
1017, Well. It's good to meet you.,
1018," You, too.",
1019, Yes.,
1020,I have a home in London. I was born there.,
1021,What part of England are you from?,
1022," Here and there, dear. All over, really.",
1023, Yes?,
1024, Accent's a little kind of. muddled.,
1025, Really? So is your tan.,
1026,"Dear, can you help me with something?",
1027,I found this outside.,
1028,Er. yes. This is off my Mercedes.,
1029,"Off your Mercedes, dear?",
1030,"You own that big, expensive car out there?",
1031,"Oh, dear. They say a man who has to buy a big car like that.",
1032,.is compensating for smaller genitals.,
1033,"But not in your case, cos I see that you're a strapping lad, aren't ya?",
1034, It was lovely to meet you.,
1035," You too, dear.",
1036," Mrs Doubtfire, may I speak with you?",
1037," Ooh, certainly, dear.",
1038,Could you stay a few extra hours this evening?,
1039,"Stu. That's more of a thick soup than a name, really.",
1040,It's a name. It's short for Stuart.,
1041, Is it?,
1042, Yes. He's a client. And a friend.,
1043, He was a friend. He is a friend.,
1044, What is he?,
1045, I don't know what's happening.,
1046," What is it, dear?",
1047, Isn't he fabulous?,
1048," Oh. kind of, dear,.",
1049,".if you like that handsome, rugged type.",
1050,"But personally I prefer short, furry and funny.",
1051,He just wants to go out and have a drink.,
1052, I think that's pretty harmless. Don't you?,
1053," Absolutely not, dear.",
1054, They always have other intentions.,
1055," This is business, mostly.",
1056,I'll just sip club soda and we'll go over wallpaper samples.,
1057,"Dear Miranda. Wake up and smell the coffee, dear.",
1058,Can't you see the lust in that man's eyes?,
1059,"It's too soon, dear. Really.",
1060,You've got to give your divorce time.,
1061,Let your sheets cool down before you bring someone else into the bed. All right?,
1062,"Mrs Doubtfire, may I ask you a question?",
1063,"Certainly, dear.",
1064,How long after Mr Doubtfire passed away.,
1065, Winston.,
1066, Winston.,
1067,.did you feel any. desire.,
1068, Never.,
1069, Never?,
1070, Never again.,
1071, Never again?,
1072,"Once the father of your children is out of the picture,.",
1073,.the only solution is total and lifelong celibacy.,
1074, Celibacy?,
1075, Yes.,
1076,"And if you violate that, heaven forgive ya.",
1077,Good luck.,
1078,Thank you.,
1079,"""Preponderance."" P-R-E.",
1080,.P-O-N.,
1081,.D-E-R. A-N-C-E.,
1082,"Bravo. ""Discriminate."" D-I-S. C-R.",
1083,.I-M-I-N-A-T-E.,
1084,"Oh, that's very good.",
1085,"Will you excuse me, dear? Call of nature.",
1086,Check those. I'll be right back.,
1087," Oh, God.",
1088," Oh, God!",
1089," Oh, my God!",
1090, Chris! Wait!,
1091,Lydia! We gotta call the cops!,
1092, We gotta dial 911 now!,
1093, Why?,
1094,Mrs Doubtfire. He's a she!,
1095,She's a she! He's a she-she!,
1096, What?,
1097, Uh. Uh.,
1098," He's half man, half woman!",
1099, What?,
1100," All right, everyone. Calm down.",
1101, Freeze! Or you're gonna get it!,
1102, In the balls!,
1103, Yeah!,
1104, She's got 'em?,
1105, She's got everything.,
1106,All right. Listen to me.,
1107,I'm not. who you think I am.,
1108, No shit!,
1109,"  Watch your mouth, young man!",
1110,"Oh, my God.",
1111, Dad?,
1112, Yeah.,
1113, Dad?,
1114," Yeah, honey.",
1115,"You don't really like wearin' that, do you, Dad?",
1116,"Well, some of it's comfortable. No! No.",
1117,It's a pain in the padded ass.,
1118,This is not a way of life. It's just ajob.,
1119,I don't go to old-lady bars or anything like that after work.,
1120,It's the only way I could see you guys every day.,
1121, Who did this?,
1122, Uncle Frank and Aunt Jack.,
1123,Oh.,
1124,It's really you in there.,
1125,Yeah.,
1126,It's just a mask. And this is a body suit.,
1127,I didn't have any operations or anything.,
1128, It's good.,
1129, Yeah.,
1130, Hi.,
1131, Hi.,
1132," Sorry I scared you. Come here, Chris.",
1133," No. No, it's OK.",
1134,I get it. I just.,
1135,don't wanna hug you or anything.,
1136, Not just yet.,
1137, That's cool. It's a guy thing.,
1138,Yeah.,
1139,"Well, now that you know, you can't tell Mom, OK?",
1140,"Cos if she finds out, I'll only be able to see you through plate glass. OK?",
1141,"And we can't tell Nattie, cos she'll blow my cover.",
1142,"So you have to promise me, it's just us. All right?",
1143, You promise?,
1144, Yeah.,
1145,It's OK.,
1146,All right? It's our little secret.,
1147,Most of the dinosaurs. were herbivorous.,
1148,But this 'Tyrannosaurus rex'.,
1149,.is a carnivore.,
1150,The reptile-like. 'Saurischia'.,
1151,.Saurischia.,
1152,.and the bird-like.,
1153,.Ornithischia.,
1154,Now. we're going to go.,
1155,.where no human being has ever been.,
1156,"Oh, no.",
1157,Which one's the dinosaur?,
1158," The one in the middle, I think.",
1159," Nah, you're wrong. They're all extinct.",
1160,I can't believe they're still subjecting kids to this. This is insane.,
1161,There should be a disclaimer: Do not operate heavy machinery while watching this show.,
1162,It's incredible.,
1163,This guy used to put me to sleep when I was a kid. It's amazing.,
1164,He has the warmth of a snow pea. Makes Mr Rogers look like Mick Jagger. It's insane.,
1165,What kind of idiot kept this guy on the air for 25 years?,
1166,Me.,
1167,You?,
1168,Jonathan Lundy.,
1169,"Jonathan Lundy, General Manager, owner?",
1170,"Oh. I'm Daniel Hillard, former employee.",
1171,Ah. Maybe.,
1172,That's funny.,
1173,I don't mean to criticise. I just.,
1174, Sometimes I have.,
1175, Criticise all you want. Show's terrible.,
1176,I'm gonna cancel it. It's pullin' down the whole afternoon schedule. It's gone.,
1177,You know what you gotta do?,
1178,Start from scratch.,
1179,Give it. maybe a musical number.,
1180, A little 'Tyrannosaurus rex' comes out.,
1181," Hillard, get your ass to the truck.",
1182,That shipment's gotta make a six o'clock flight to LA.,
1183,"Tone, this is Mr Lundy.",
1184, He knows who I am.,
1185, Yeah.,
1186,"Did you ever wish that you could freeze-frame a single moment in your day,.",
1187,".look at it and say ""This is not my life""?",
1188,"Walk, walk He said: Walk like a man, talk like a man Walk like a man, my son No woman's worth crawling on the earth.",
1189,"Miranda. What are you home early for, dear?",
1190,"I had an appointment. Oh, thank you!",
1191, With the court liaison. Mrs Sellner.,
1192, Oh!,
1193, I can't believe it.,
1194," What, dear?",
1195,She says Daniel has some woman living with him pretending to be his sister!,
1196, Oh.!,
1197, I told her he doesn't even have a sister.,
1198,Mrs Sellner's probably mistaken.,
1199,"She's a social worker, dear. Really!",
1200,"And besides, how could he replace you?",
1201,And so quickly. Really!,
1202,She's supposed to be older and very unattractive.,
1203,Really? Oh.,
1204,Mrs Doubtfire.,
1205, Yes?,
1206, Did you and Mr Doubtfire ever.,
1207, You must have had your share of problems.,
1208," Oh, of course, dear. What marriage doesn't?",
1209,"But I always say: the bad times fade away,.",
1210,.and the good ones adhere themselves to your memory.,
1211, Yes. Excuse me.,
1212, That's all right.,
1213,"Oh. As I hold this cold meat, I'm reminded of Winston. God rest his soul.",
1214,When did he. pass on?,
1215,"Eight years ago, dear. This November.",
1216,What happened?,
1217, He was quite fond of the drink.,
1218, Ah.,
1219, It was the drink that killed him.,
1220, How awful.,
1221, He was an alcoholic?,
1222, No. He was hit by a Guinness truck.,
1223,So it was quite literally the drink that killed him.,
1224, How tragic!,
1225, Yes.,
1226,"Oh, but he was a good man, though, really.",
1227,A sainted man.,
1228,"And despite his mountains of faults, dear,.",
1229,.I always say: a flawed husband is better than none at all.,
1230, Who needs a husband when I've got you?,
1231," Surely you don't mean that, dear?",
1232, Well.,
1233," Oh, that's so sweet!",
1234,You can't imagine what it was like being married to Daniel.,
1235,"Tell me, dear. What was so horrible about this man you lived with for 14 years?",
1236,"Well, at first, nothing.",
1237,He was. He was so. romantic.,
1238, So passionate.,
1239, Really?,
1240,"He sounds like an absolute stud, dear.",
1241,"I hope you don't mind me being a tad rude, but.",
1242,.how was he. you know.,
1243,on a scale of 1 to 10?,
1244,"Oh, well. That part was always.",
1245,.OK.,
1246,Just OK? Oh.,
1247,He was probably a Casanova compared to poor old Winston.,
1248, What was the matter with Winston?,
1249," Oh, dear.",
1250,"Winston's idea of foreplay was ""Effie, brace yourself."" It was Daniel's spontaneity and energy I fell in love with.",
1251,Really?,
1252,"Everyone else I knew was so organised, so scheduled.",
1253,"Like me, I guess.",
1254,But Daniel was so wonderfully different.,
1255,And funny. He could always make me laugh.,
1256,I always say: the key to a solid marriage is laughter.,
1257,"But after a few years, everything just stopped being funny.",
1258, Why?,
1259, I was working all the time and.,
1260,.he was always between jobs.,
1261,"I hardly ever got to see the kids, and.",
1262,".if I got home early to be with them, something would go wrong.",
1263,The house would be wrecked and I'd have to clean it up.,
1264,"He never knew, but so many nights I just.",
1265,cried myself to sleep.,
1266,Really?,
1267,"The truth is, I didn't like who I was when I was with him.",
1268,I would turn into this horrible person.,
1269,I didn't want my kids growing up with a mother like that.,
1270,"When I'm not with Daniel, I'm better.",
1271,And. I'm sure he's better when he's not with me.,
1272,"Well, you never.",
1273,"I mean. Did you ever say anything to him, dear?",
1274,Daniel never liked to talk about anything serious.,
1275,I used to think Daniel could do anything.,
1276,except be serious.,
1277,"But then, I was serious enough for everybody.",
1278, Oh!,
1279, This is great!,
1280,Isn't this posh!,
1281,I'll bet it's very exclusive. Probably need a credit reference just to get in the pool.,
1282, Amazing!,
1283," Oh, Nattie.",
1284,Not a single body that exists in nature. Look at that.,
1285, Lydie.,
1286, There's Stu!,
1287,Where? Oh. On the board.,
1288,"Oh, isn't he a stunning piece of work?",
1289,"Look, Nattie. That's called liposuction.",
1290,Wow!,
1291,"I hope he had protection, hitting the water at that speed.",
1292, Let's go say hi.,
1293," Let's do, please.",
1294, Wow! That's amazing.,
1295, Stunning.,
1296, Hello! You look lovely!,
1297, Hi.,
1298,"Oh, guys, I'm so glad you could make it.",
1299," By the looks of you, that water's so cold!",
1300," Yes, well.",
1301,Your tummy looks different from my daddy's.,
1302,"Oh, Nattie! Not everyone has their own personal trainer.",
1303, Got your swimsuits? Wanna go for a dip?,
1304, That'd be great!,
1305," Good! How about you, Mrs Doubtfire?",
1306," Oh, you wicked, wicked man!",
1307,Isn't there enough flesh here for you to feast your eyes on?,
1308," Come, Mrs Doubtfire. Don't be bashful.",
1309," No, dear. They've outlawed whaling.",
1310, We'd be re-enacting the Titanic.,
1311," Come on, Mrs Doubtfire.",
1312,"Oh, no. Just go. Leave me here.",
1313,I'll just sit in the sun and crisp.,
1314,You can't get heatstroke twice in the same year.,
1315,"OK. Well, let's go, kids. Swim time.",
1316," Go, dear. I'll be fine.",
1317," Your day's on me, Mrs Doubtfire.",
1318," Anything you need, put it on my tab.",
1319," Thank you, dear.",
1320,"Touch me again and I'll drown you, you bastard.",
1321,I'll just sit here and watch you move in on my family.,
1322,"Hello, hello.",
1323,"Oh, God. What am I doing here?",
1324,This is beyond obsession.,
1325,"Oh, God.",
1326," Is everything all right, ma'am?",
1327,  Fan-bloody-tastic.,
1328, Can I have another?,
1329, Sure.,
1330,Great.,
1331, Hi.,
1332," Soda with a lime, please.",
1333, It's on me.,
1334," No, thanks.",
1335,"Four iced teas, Todd.",
1336,"So, whose rugrats?",
1337,Miranda Hillard's.,
1338, Miranda Hillard?,
1339, Mm-hm. The woman I'm seeing.,
1340,No kidding? You?,
1341,The guy who's never having kids?,
1342,Won't have anything to do with kids?,
1343,You won't even date a woman with kids.,
1344,"People change, Ron.",
1345,I'm pushing 40. I don't want to spend the rest of my life by myself.,
1346,She's got an awful lot of baggage. Three kids.,
1347,"Three terrific kids, and I'm crazy about them.",
1348,Especially little Natalie. Look at her.,
1349,She's a sweetie pie.,
1350,God knows they need a stable father figure in their life right now.,
1351, What about their real father?,
1352, What can I say? The guy's a loser. I'll see ya.,
1353,"Loser? Oh, yeah?",
1354,"Oh, sir!",
1355,I saw it! Some angry member of the kitchen staff. Did you not tip them?,
1356,"Oh, the terrorists! They ran that way.",
1357,It was a run-by fruiting.,
1358,"I'll get them, sir. Don't worry.",
1359,Oh. Oh.,
1360,Good waste ofjuice.,
1361,Loser.,
1362,What are you lookin' at?,
1363,"Hi, boys and girls.",
1364,Today we'll be talking about dinosaurs.,
1365,It's. A Dinosaurus Line!,
1366,And please welcome. the king!,
1367,It's a dinner show. Hi! Where you from?,
1368,I'm gonna make you lunch.,
1369,  Thank you very much.,
1370, Thank you! All right!,
1371,"Ladies and gentlemen, put your claws together!",
1372,Please welcome. James Browntosaurus!,
1373,"I eat wood, di-na di-na di-na din It tastes good, di-na di-na di-na din No meat, big feet I eat wood - pum pum pum pum! Ow!",
1374,"Oh, I got to help myself!",
1375,Can't go on! I'm goin' extinct!,
1376,"Oh, thank you, James. But right now - yo!",
1377,It's time for the Raptor Rap!,
1378,"I'm a raptor, doin' what I can Gonna eat everything till the appearance of man Yo, yo, see me, I'm livin' below the soil I'll be back but I'm comin' as oil Very impressive, Mr Hillard!",
1379, I didn't know anybody was watching.,
1380, I was watching. That's funny stuff.,
1381," Well, thanks.",
1382, I think kids'd like it.,
1383, They'd be entertained and get information.,
1384, That's kinda my theory.,
1385,"You don't have to play down to 'em, just play to 'em.",
1386," Listen, I'd like to hear more of your ideas.",
1387, My ideas?,
1388, How about a dinner meeting?,
1389, Wow. OK.,
1390,Next Friday. Bridges Restaurant.,
1391,Seven o'clock sharp.,
1392,I'll be there.,
1393,Take five.,
1394,Take five million. You're dead.,
1395," We've just had our first home-cooked meal. I'm domestic now, huh?",
1396,"  This is terrific, Dad.",
1397, You want more spaghetti?,
1398," No, I'm stuffed.",
1399, Garlic bread? I made it myself.,
1400,"Well, I didn't make it myself.",
1401,I cooked it. I sliced it.,
1402,"It's OK, Dad. Thanks.",
1403,The place looks great. The food's terrific.,
1404,I'm really proud of you.,
1405,"Yeah. Me, too.",
1406,"Me, too.",
1407,I'll be right back.,
1408, Thank you for knocking.,
1409, Yeah.,
1410,Whoa! Look at this!,
1411,I see you got someone to clean for you.,
1412, No.,
1413, You.?,
1414," Hi, guys.",
1415," Hi, Mom.",
1416, Are they ready?,
1417, No. They haven't had dessert yet.,
1418, You cooked?,
1419," Yes. I cook, I bake, I sew.",
1420,Thanks to this Amish home study course I'm doing.,
1421, I'm very impressed.,
1422, Really?,
1423,Give me a second chance. OK?,
1424,Let me take the kids after school.,
1425, I can't get rid of Mrs Doubtfire. She's terrific.,
1426, Why not?,
1427,She's the best thing that ever happened to us.,
1428,The kids are all doing better in school.,
1429,Chris is passing every single subject.,
1430,I find myself getting home early just to be with them. We're all doing so great.,
1431,Whooh! Sounds like an amazing woman.,
1432,Too good to be true.,
1433,She is.,
1434, I kinda like the black one.,
1435," Me, too.",
1436,I don't know. Actually. Mrs Doubtfire!,
1437, Yes?,
1438, We need another woman's opinion.,
1439,Oh! Then I'm your woman.,
1440, Which one?,
1441, What's the occasion?,
1442, It's my birthday.,
1443, Oh!,
1444, Stu's taking me out to dinner.,
1445, Oh.,
1446, Neither.,
1447, Neither?,
1448,"They're both too brazen, dear.",
1449,"They cry ""harlot"".",
1450,Red is the traditional colour for streetwalkers.,
1451,And the black one is far too short.,
1452,I hope you waxed.,
1453,"They both say to me ""I'm easy."" You want to be Kilimanjaro on your first date - inaccessible.",
1454,Why buy the cow when you can get the milk for free?,
1455,"No, let's find something more your own age.",
1456,Something a little less tawdry.,
1457,Let's see.,
1458,How about this lovely frock?,
1459,"Tasteful, elegant.",
1460,Don't you think?,
1461,And old. I wore that to my aunt's funeral in 1976.,
1462,"A classic never dies, dear.",
1463,I think it's time to revive it.,
1464,I think we should ask the kids.,
1465,What do you think?,
1466," I'd go with the short, black one.",
1467, Yeah. It's the most fun.,
1468,There. You see? I agree.,
1469,"Fine. You ask my opinion, then don't take it.",
1470, I will not be held responsible for your virtue.,
1471, You'll be there to protect me.,
1472, Stu has invited you and the kids to join us.,
1473," Oh, how lovely! One big, happy family.",
1474,I wouldn't miss that for the world!,
1475,Should be smashing good fun!,
1476, I'm so glad.,
1477, When is this enchanted evening?,
1478,"Friday night, seven o'clock.",
1479, This Friday at seven?,
1480, Yes. At my favourite restaurant. Bridges.,
1481, Bridges?,
1482, Yes.,
1483, Friday at seven.,
1484, Bridges.,
1485,Sorry.,
1486, Bridges?,
1487, Yes! Bridges.,
1488, The restaurant Bridges?,
1489, Friday at seven.,
1490," I can't. Please, don't. It's bingo night, dear.",
1491, Cancel it.,
1492,"I can't, dear. It's my turn to pull the balls at the rectory.",
1493, Please join us.,
1494," Don't ask me that, dear.",
1495,I can't have my birthday without you.,
1496,It's so important to us that you be there.,
1497,You're part of the family now.,
1498,I can't have a birthday without you. It would mean so much to me and the children.,
1499,"Please promise you'll come with us, Mrs Doubtfire. You just have to.",
1500,Who could resist that little face?,
1501, I promise.,
1502, Thank you!,
1503, Thank you.,
1504," Thank you, dear.",
1505, Oh! Are you all right?,
1506, I'm fine.,
1507,Let's see. Nothing.,
1508,  Anything in May?,
1509, Not a thing.,
1510,It doesn't look good.,
1511,I'm sorry. Mr Lundy is completely booked for the next two months.,
1512," I'll meet him any time, anywhere.",
1513, Sorry. There's nothing I can do.,
1514,Please. I can't cancel.,
1515,It's a huge opportunity.,
1516,Take my advice: don't cancel.,
1517,Thank you.,
1518,"  Come along, Nattie.",
1519," Hello, darling!",
1520, Shouldn't you cover your shoulders?,
1521, No! I'm fine.,
1522," Good evening, Mr Lundy.",
1523, Good evening.,
1524,"Oh, God. Here we go.",
1525," Mrs Doubtfire, you look wonderful.",
1526, Thank you.,
1527,Come on. I hope you're all hungry.,
1528," Good evening, Mr Lundy.",
1529, I'm meeting someone. Is he here?,
1530,"No, I'm sorry. He hasn't arrived yet.",
1531,But we can seat you.,
1532,Smoking or nonsmoking?,
1533," Nonsmoking, please.",
1534, Nonsmoking.,
1535, Tanya will seat you. Table 15.,
1536," This way, please.",
1537, Reservation. Dunmeyer.,
1538," Yes, sir.",
1539, Smoking or nonsmoking?,
1540, Nonsmoking.,
1541, Smoking!,
1542," Mrs Doubtfire, you don't smoke.",
1543,"No, I don't. But I did.",
1544,I found the best way to keep from smoking again is to be around those who do smoke.,
1545,I have to randomly ingest just a little bit of nicotine and it steels my wool.,
1546,And I know you're Mr Health. Bless you for putting yourself in harm's way.,
1547, Smoking.,
1548, All right. Table 39.,
1549," Follow me, please.",
1550, 39! My age! You're a saint.,
1551,Thank you very much for humouring an old lady.,
1552,  He's pissed already.,
1553, Mrs Doubtfire?,
1554, Would you. like to join us?,
1555, Ooh. I thought I saw Clint Eastwood.,
1556,That would make my day!,
1557,He is such a stud-muffin.,
1558,"Will you excuse me, dear?",
1559,I have to check my wrap.,
1560," Oh, I can do it for you.",
1561," Oh, no, please. I'm quite capable of.",
1562,"All right, dear. There you go.",
1563," Oh, and your bag too, ma'am.",
1564, Drop it!,
1565,"Oh, I'm very sorry, dear. It's my medicine.",
1566, I have to go take my medicine now.,
1567, We have water at the table.,
1568,"I can't take it orally, dear. I'll be right back.",
1569,  Would you like something to drink?,
1570," Oh, yes. A good stiff Chardonnay.",
1571,I like 'em light and woody.,
1572, Hello. Bridges Restaurant. May I help you?,
1573, Yes. My name is Daniel Hillard.,
1574,"Mr Lundy is expecting me for dinner. Will you tell him I'm running late, but I'm on my way?",
1575," I'll deliver the message personally, sir.",
1576, Thank you.,
1577,Oh!,
1578,"Oh, Stu!",
1579, Wow!,
1580, It's beautiful.,
1581,It's gorgeous! Thank you!,
1582,Oooh! Did I miss anything?,
1583,"Well, yes. Look. This is the gift that Stu gave me for my birthday.",
1584,Ohhhh!,
1585, Isn't it gorgeous!,
1586, Is it real?,
1587,"It is very real, Mrs Doubtfire.",
1588,You can either wear that or feed a small country. That's so nice. So decadent.,
1589,"Mommy, I need to go.",
1590," Mrs Doubtfire, would you take her?",
1591, No. You.,
1592," She wants you, dear.",
1593, Well. I'll be right back.,
1594,OK.,
1595,"Yes, well.",
1596,"Children, look at that lovely dessert tray over there.",
1597,Why don't you go over and pick what you'd like now so they could reserve it?,
1598, We'll be back.,
1599, All right.,
1600,That's a pretty impressive bauble you got her.,
1601,"Oh, thank you. Thank you.",
1602,"A fella gives a gift like that, he wants more than a piece of her heart, eh?",
1603,"Bit of a going-down payment, huh?",
1604, Excuse me?,
1605," You know, dear. Sink the sub.",
1606,Hide the weasel? Park the porpoise?,
1607,Bit of the old humpty dumpty?,
1608,"Oh, dear. I'm sorry.",
1609,Am I being a little graphic? Sorry.,
1610, I hope you're up for a little competition.,
1611, I beg your pardon?,
1612,"She's got a power tool in the bedroom, dear.",
1613,It's her personal jackhammer.,
1614,She uses it and the lights dim.,
1615,It's like a prison movie.,
1616,Amazed she hasn't chipped her teeth. Ooh!,
1617,I hope you bring cocktail sauce.,
1618,She's got crabs.,
1619,And I don't mean Dungeness.,
1620,"I'm being blunt as a spoon, aren't I?",
1621,Forgive me. Oh.!,
1622,"It's the wine. Oh, gosh!",
1623,Be back in a flash. All right? My tiny bladder.,
1624, Mrs Doubtfire!,
1625, What?,
1626, You're going into the men's room.,
1627," No! Oh, so it is!",
1628,"I do need new glasses, dear. Sorry!",
1629,Hello!,
1630,Aagh!,
1631,Jesus! God!,
1632, Excuse me. May I have a menu?,
1633, Of course.,
1634, What's France like?,
