,utterance,annotation_algo
875,"When we dropped Brother Kwame off at the airport, he told me that the Black Power movement needed strong sisters like me to lead the fight against capitalist oppression and the politicians and pigs who perpetuate it.",
876,His words almost made that whole pig nightmare worthwhile.,
877,What's wrong?,
878,What do you mean?,
879,What's wrong?,
880,I don't really use that word.,
881,What word?,
882,"""Pigs."" Well, what else would you call them?",
883,Cops.,
884,Police.,
885,Officers.,
886,A bunch of racist cops on a power trip.,
887,"So, you think all cops are racist?",
888,It only takes one to pull a trigger on an innocent sister or brother.,
889,Hmm.,
890,Why were you at Brother Kwame's speech?,
891,He's got some good ideas.,
892,"I don't agree with all of them, but he's a smart brother, definitely worth hearing.",
893,Are you down for the liberation of black people?,
894,Do we always have to talk politics?,
895,What's more important?,
896,Do you ever take time off?,
897,No. It's a lifetime job.,
898,"Sister Angela Davis, most righteous sister, can we please spend some quality time together?",
899,And what did you say your J-O-B is?,
900,"Sister Kathleen Cleaver, I didn't.",
901,Are you a pig?,
902,Excuse me?,
903,Are you a pig?,
904,You mean a cop?,
905,Are you a cop?,
906,No.,
907,I'm in construction.,
908,"But more importantly, I'm a black man who wants to get to know a strong, intelligent, beautiful sister.",
909,The very one I'm looking at right now.,
910,You dig?,
911,Sure enough.,
912,That's what I'm talking about.,
913,Power to the people.,
914,All power to all the people.,
915," That's right, sister.",
916," Right on, right on.",
917, This is Walter.,
918, Ron here.,
919,This is Ron?,
920,"Sorry, your voice sounds different over the phone.",
921,Uh.,
922,My allergies.,
923,Allergies acting up again.,
924,I get those all the time.,
925,"Listen, wanted to tell you that it was a real pleasure to have you swing by.",
926,I think the brothers really took a liking to you.,
927,I'm honored.,
928,"If you're free Saturday, why don't you swing by Felix's.",
929,You can meet the rest of the brotherhood. Hmm?,
930,Sounds good to me.,
931,"Well, I will see you then.",
932,I've got a friend.,
933,"He, uh, keeps up with these groups.",
934,"He says they're moving away from the old violent, racist style.",
935,"So, that's what Duke is peddling now.",
936,"It's, uh, becoming mainstream.",
937, Duke?,
938, David Duke.,
939,Current grand wizard of the Klan.,
940,"But he's always in a three-piece suit, never seen in a hood or robe in public, and he now goes by ""national director."" So he's clearly got his sights on higher office.",
941, Politics? How so?,
942, Yeah.,
943,Think it's another way to sell hate.,
944, Keep going.,
945, Think about it.,
946,"Affirmative action, immigration, crime, tax reform.",
947,Mmm.,
948,He says no one wants to be called a bigot anymore.,
949,I guess Archie Bunker made that too uncool.,
950,"So the idea is, under all these issues, everyday Americans can accept it, support it, until eventually, one day, he gets somebody in the White House that embodies it.",
951,Sarge.,
952,Come on.,
953,America would never elect somebody like David Duke president of the United States of America.,
954,"Coming from a black man, that's pretty naive.",
955,Why don't you wake up?,
956,"Ron, hi. I'm Connie, Felix's wife.",
957,It's so nice to meet you.,
958,Oh.,
959, Want to come right in?,
960, Sure.,
961," Do you mind if I, uh, smoke in there?",
962," Oh, not at all.",
963,"I'm telling you, a war's a-coming.",
964,That'll be the end of the purified white race  as we know it.,
965, They're right inside.,
966,Just make yourself right at home.,
967,It's time we go on the offensive.,
968, We gotta make sure that everybody.,
969," Hey, man.",
970," Hello. Hey, fellas.",
971, Welcome. Welcome.,
972,"This is Ron, everybody.",
973, Mr. Stallworth.,
974, All right.,
975, That's Mike.,
976," Hey, Mike. How are you? Ron.",
977, Scott in the back.,
978, Ron. How are you.,
979, Jesup.,
980, Hey. How are you?,
981," Ron, why don't you have a seat.",
982," Sorry to interrupt, but I brought some cheese dip and crackers.",
983,Would you like some?,
984," Thanks, honey.",
985, Thank you.,
986, Walter?,
987, Make them remember who we are and what we stand for.,
988,We are the Organization.,
989, We have to.,
990, Oh! Oh! Oh! I read something in the Gazette that this nigger named Carmichael held a rally and that some college nigger girl from the Baboon Student Union was attacking our police.,
991,"I mean, this girl is dangerous.",
992,"She's like that Commie, Angela Davis.",
993,And I just.,
994,I think we should shut her mouth.,
995,Here.,
996,I cut the article.,
997,That'll be all.,
998,"Love you, sweetie.",
999,"Someday, you're going to need me to do something for you.",
1000,Just wait and see.,
1001,And I will be right in here.,
1002,"Why don't we, uh, get back to our bread and butter.",
1003,"Let's talk about the next cross burning, which, Ron, you'll be lucky enough to attend if your membership comes in time.",
1004,It'll be a tremendous honor.,
1005, The highest hills get the most eyes.,
1006, Yeah.,
1007,Prove you can read.,
1008,"""Friday night last week, ""the Colorado College Black Student Union."" Hey, Ron.",
1009,I gotta show you something.,
1010,""".hosted a controversial talk featuring Stokely Carmichael ""at Bell's Nightingale nightclub."" ""Black Student Union."" ""Black Student."" That go together to you?",
1011,That sounds fucking weird to me.,
1012,Lookie here.,
1013,Wow. This is really something.,
1014,Here's my favorite.,
1015,12-gauge.,
1016,I call this the Jew Killer.,
1017,I call it a Remington Model 1900.,
1018,"Indeed, it is.",
1019,Okay.,
1020,We about done here?,
1021,We got a few more items on the.,
1022,Not just yet.,
1023,Gotta make sure there's no Jew in him.,
1024,"All right, now you're just being offensive.",
1025,Okay? We're talking about someone who's gonna be our brother in a few months.,
1026,You see a Star of David around his neck?,
1027,Is there a yarmulke on Ron's head?,
1028,Just protocol.,
1029,"My house, my rules.",
1030,This way.,
1031,Where we going now?,
1032,I gotta show you something.,
1033,Tough titty.,
1034,"It's not necessary, Felix.",
1035,This is how we lose recruits.,
1036,You are going to take this lie detector test.,
1037, Take a seat.,
1038, What is this?,
1039,Is this your Jew den?,
1040,"Is this where you make your candles, you know, and your lampshades?",
1041,"No, you're gonna take this lie detector test.",
1042,Open the damn door.,
1043,This is some lame bullshit.,
1044,"Lame or not, you're taking this Jew lie detector test.",
1045, Sit down.,
1046," Okay, Felix.",
1047,"Out of respect for this Organization, I'll play along with your little Get Smart bullshit, but I'm no fucking Jew.",
1048,Sit down.,
1049,Ask anybody.,
1050,They'll say I'm a real friendly guy.,
1051,"Thing is, I'm only friendly to my friends.",
1052,Not Jew friendly.,
1053,Damn sure not nigger friendly.,
1054," Me, neither.",
1055, Know what I think?,
1056, You think?,
1057," Oh, yeah, I think.",
1058,What do you think about?,
1059,This Holocaust stuff never happened.,
1060,That's the biggest Jewish conspiracy ever.,
1061,Eight million Jews killed?,
1062,Concentration camps?,
1063,Never happened.,
1064, Where's the proof?,
1065, Are you high?,
1066,I don't get high.,
1067,I drink.,
1068,'Cause I'd say the Holocaust is one of the most beautiful things I've ever seen.,
1069,It just makes sense to me.,
1070,You have a whole race of leeches that you have to get rid of.,
1071,"So, what do you do? You starve them, you burn them, you get rid of them.",
1072,It's like weeding out roots for the better people.,
1073, Haven't you seen the footage?,
1074, That's fake.,
1075,Jews run Hollywood.,
1076,Fucking hell.,
1077,Let me see your dick.,
1078,You gonna shoot me?,
1079,Put that gun away.,
1080,I hear you Jews do something funny with your dicks.,
1081,Some weird Jew shit.,
1082, Is your dick circumstanced?,
1083," Oh, is that what this is about?",
1084,"You're trying to see my big Jew dick, you fucking faggot.",
1085,"Who you calling a fucking faggot, Jew faggot?",
1086,"Now, put that fucking strap on your arm.",
1087,Put it on your arm!,
1088,Oh!,
1089, Felix!,
1090," Connie, what's wrong?",
1091,Felix! Felix!,
1092," Connie! Connie, what's wrong?",
1093, Felix! Felix!,
1094, Connie!,
1095, There's a black lawn jockey on our green lawn!,
1096, Felix!,
1097," I'm coming to you, honey!",
1098," Shit, shit.",
1099, Felix!,
1100,Kill that son of a bitch!,
1101,"Yeah, keep driving, you black spear chucker,  piece of shit nigger!",
1102, That son of a bitch!,
1103,"Fucked up the window, man.",
1104,Still want me to take your Jew detector test?,
1105,Everybody back in the house!,
1106,Back in the house now!,
1107, Shit.,
1108," Connie, you okay?",
1109, You okay? Back in the house.,
1110, That's why we gotta get stronger.,
1111, That's some bullshit!,
1112," Back in the house, honey.",
1113,That's what I've been telling all you boys.,
1114,We need more guns!,
1115,Lie detector?,
1116,Shots fired?,
1117,You fucking kidding me?,
1118,It's a goddamn clusterfuck.,
1119,You dickheads are fucking with me.,
1120,You're jerking my chain.,
1121,You're jerking my chain.,
1122,I'm getting a reach-around from the Chief.,
1123,It's a big fucking circle jerk!,
1124, That's funny?,
1125," No, sir.",
1126,"'Cause if Bridges hears about this, this whole fucking operation's going to be closed down.",
1127,"Yeah, that's funny.",
1128,And I'm going to be a fucking school crossing guard in fucking the ghetto of Five Points!,
1129,"I mean, is he gonna hear about it, Sarge?",
1130,Cocksuckers.,
1131,Hear about what?,
1132,"Hey, guys.",
1133,"Charles, can you give us five, please?",
1134,Sure.,
1135,"I didn't want to say it with Trapp, but that peckerwood had a gun in my face, and he was an ass hair away from pulling the trigger.",
1136, And he didn't.,
1137, But he could have.,
1138,And then I would have been dead.,
1139,For what?,
1140,Stopping some jerk-offs from playing dress-up?,
1141," Flip, it's intel.",
1142," Well, I'm not risking my life to prevent some rednecks from lighting a couple sticks on fire.",
1143,This is the job.,
1144,What's your problem?,
1145,That's my problem.,
1146,"For you, it's a crusade.",
1147, Mmm-hmm.,
1148," For me, it's a job.",
1149,"It's not personal, nor should it be.",
1150,Why haven't you bought into this?,
1151, Why should I?,
1152," Because you're Jewish, brother.",
1153,The so-called chosen people.,
1154,You've been passing for a WASP.,
1155,"White Anglo-Saxon Protestant, cherry pie, hot dog, white boy.",
1156,Hmm.,
1157,It's what some light-skinned black folks do.,
1158,They pass for white.,
1159,"Doesn't that hatred you've been hearing the Klan say, doesn't that piss you off?",
1160, 'Course it does.,
1161," Then why you acting like you ain't got skin in the game, brother?",
1162,"Rookie, that's my fucking business.",
1163,It's our business.,
1164,"Now, I'm going to get you your membership card so you can go to the cross burning  and get in deeper with these guys.",
1165, Okay.,
1166,"Right, partner?",
1167,"Wake up, white man.",
1168,The Negro wants your  white woman and your job.,
1169, Sorry. I'm sorry. Let me.,
1170,"The Jew wants your money, and this you.",
1171,"Sorry, who am I talking to?",
1172,"This is Ron Stallworth calling from Colorado Springs, Colorado.",
1173,"How are you today, sir?",
1174,I'm quite well. Thank you.,
1175,"Uh, what can I do you for?",
1176,"I desperately want to participate in my chapter's honorary events, but I can't until I receive my membership card.",
1177,Of course that's something I can help you with.,
1178,"Great. Um, who am I speaking with?",
1179,This is David Duke.,
1180,Did you just say your name was David Duke?,
1181,Last time I checked.,
1182,Grand wizard of the Ku Klux Klan?,
1183,That David Duke?,
1184,"Yes, that grand wizard and national director, yeah.",
1185,"National director, too, huh?",
1186,"Yes, you're darn tooting.",
1187,That's amazing.,
1188,"I'm honored to be speaking with you, sir.",
1189,I'm not afraid to say it.,
1190,I consider you a true white American hero.,
1191,Is there any other kind?,
1192,"No, sir.",
1193,I'm just happy to be talking to a true white American.,
1194,Amen.,
1195,It seems like there's less and less of us out there these days.,
1196, Mmm.,
1197, Mmm.,
1198,"Now, about that membership card.",
1199,"Yeah, Ron, I understand the situation.",
1200,"Uh, we've had some administrative problems here.",
1201,It's caused a little bit of a backlog.,
1202,"Tell you what, I'm gonna see to it personally that your membership card is processed, approved and sent out today.",
1203,How's that sound?,
1204,"Thank you, sir.",
1205,I can't express to you how much this means to me.,
1206,"Ron, please.",
1207,Pleasure's all mine.,
1208,"I look forward to hopefully meeting you in person one day, and, uh.",
1209,"Well, God bless white America.",
1210," God bless white America, sir.",
1211," Okay, take care.",
1212,Excuse me.,
1213,Watch where you're going.,
1214,"You could get hurt like that, hot shot.",
1215,"The cop that pulled Kwame Ture over that night, was it Landers?",
1216,How'd you know?,
1217,I can smell them a mile away now.,
1218,"What, do you got Smell-O-Vision?",
1219,He's been a bad cop for a long time.,
1220, Yeah?,
1221, Yeah.,
1222,"Few years ago, he shot and killed a black kid.",
1223, Jesus.,
1224," He said he had a gun, but he wasn't that type.",
1225,Why do you guys tolerate this?,
1226,You want to be the guy that rats him out?,
1227,You want to go to Landers' office now?,
1228,'Cause we're a family.,
1229,"And right or wrong, we stick together.",
1230,That reminds me of another group.,
1231,"That's a bull's-eye, Ron.",
1232,You guys heard about this Hide N Seek room?,
1233,"Here, you got a decent bar turned into a filthy fag bar overnight.",
1234,Fucking fags everywhere these days.,
1235,They're trying to colonize.,
1236,"You know, first they get their own bars, then they want equal treatment.",
1237,Forget those fags.,
1238,Those guys Army-trained?,
1239,"A lot of us are, yeah.",
1240,Fort Carson myself.,
1241," God, I wish I had a scope on this thing.",
1242, Never seen those Macs before.,
1243, Steve and Jerry?,
1244," Yeah, who are they?",
1245,That's classified information.,
1246,"Hey, Ron. I want to see what you can do  with my.45.",
1247, All right.,
1248,"Yeah, maybe you'll get that nigger next time.",
1249,Ooh.,
1250,Fifty bucks?,
1251, You got it.,
1252, I'll take that bet.,
1253,"Fuck, how about ten?",
1254, Son of a bitch!,
1255," All right, where's my money?",
1256, Where'd you learn to shoot like that?,
1257, Not bad. Hot damn.,
1258,"Well, my old man bought me a toy cap gun when I was a kid, and been shooting ever since.",
1259, That's a hell of a cap gun.,
1260, He can shoot.,
1261," All right, let's go.",
1262, Damn.,
1263,Pack it up.,
1264,"Ron Stallworth, motherfucker.",
1265,"Hey, Walter.",
1266,"Hey, I'm better than I used to be, right?",
1267, I'm gooder than I was.,
1268," You're definitely doing a little bit better, but I don't think ""gooder"" is a word, but you're doing real good.",
1269,And Bernie Casey.,
1270, Ooh. Bernie Casey.,
1271, Brother's strong.,
1272,But Cleopatra Jones is the one.,
1273,It's about time we started seeing a strong sister like that.,
1274,"Well, Tamara Dobson did play a cop, right?",
1275,"It's a black exploitation film, which is a fantasy.",
1276,Real life's not like that.,
1277,Real life is no Cleopatra Jones or Coffy.,
1278,"What, you don't dig Pam Grier?",
1279,She's fine as red wine and twice as mellow.,
1280,"Pam Grier is doing her thing, but in real life, it's just pigs killing black folks.",
1281,What if there was a cop trying to change that?,
1282,From inside?,
1283,"Yes, from inside.",
1284,You can't change things from the inside.,
1285,It's a racist system.,
1286, You just give up like that?,
1287, No.,
1288,"We fight for what black people really need,  black liberation.",
1289," Right, right.",
1290," So, can't you do that from the inside?",
1291," No, you can't.",
1292,The white man won't give up his position in power without a struggle.,
1293,What did Du Bois say about double consciousness?,
1294,Twoness?,
1295,Being an American and a Negro?,
1296,Two warring ideals inside one dark body.,
1297,"That's heavy, Patrice.",
1298,"I feel that, like I'm two people all the time.",
1299,But you shouldn't have to be.,
1300,We shouldn't have a war going on inside ourselves.,
1301,We should just be black.,
1302,"We're not there yet, though.",
1303,"Well, I'm tired of waiting.",
1304,I got a serious question for you.,
1305," Oh, yeah? What?",
1306, Very serious.,
1307,Uh-huh.,
1308,Shaft or Super Fly?,
1309, What?,
1310, Pick one.,
1311,A private detective over a pimp any day and twice on Sundays.,
1312,All right.,
1313,Ron O'Neal or Richard Roundtree?,
1314,Richard Roundtree.,
1315,Pimps ain't heroes.,
1316,"Well, Ron O'Neal isn't a pimp, although he played the hell out of one.",
1317,That image does damage to our people.,
1318,"Geez, it's a movie.",
1319,Give it a rest.,
1320,I can't let it rest.,
1321,You jive turkey.,
1322," Who you calling jive turkey, jive turkey?",
1323, I'm calling you a jive turkey.,
1324,I got a Tamara roundhouse coming.,
1325, Jive turkey.,
1326, It's coming.,
1327, It's coming around.,
1328, Get out of here with that!,
1329,Jive turkey.,
1330,Wrong address.,
1331,"Sorry to bother you, sir.",
1332,Have a good night.,
1333,Hello?,
1334,Hey.,
1335,"Sorry, had to work late.",
1336,How are you guys doing?,
1337,"Got a beer for you, Mr. Stallworth.",
1338, Thanks.,
1339, You got a twin.,
1340, What?,
1341, You got a twin.,
1342,Twin what?,
1343,A twin twin.,
1344,And your twin is a nigger.,
1345,Looked in the phone book.,
1346,Went over to what I thought was his place.,
1347,I found a nig there.,
1348,"Well, my number's unlisted.",
1349,What address did you go to?,
1350,Over on Bluestem Lane.,
1351,Bluestem Lane?,
1352,"No, I live on 21st Street.",
1353,What'd I tell you? Hmm?,
1354,Nothing to worry about.,
1355,"So, you don't know that nigger?",
1356,Oh! That's that nigger I keep in the woodpile.,
1357,You're right. I thought you were talking about somebody else.,
1358,"No, I don't.",
1359,1813 South 21st Street.,
1360,Come by sometime.,
1361,We'll have a beer.,
1362,And you know what?,
1363,"That loudmouth Black Student Union bitch that's been in the papers complaining about the police, she was there.",
1364,That fucking cunt?,
1365,Like to close those monkey lips permanently.,
1366,"Hey, don't say that.",
1367,Not until I get her lips around the head of my dick.,
1368,Can we play some goddamn poker now?,
1369,Are you done?,
1370,"Ron Stallworth, you enter.",
1371,You entertain me.,
1372,"Entertain me a lot more than that one-eyed nigger, Sammy Davis, Jr.",
1373,"I'll say that, though.",
1374,They can dance.,
1375,They can dance.,
1376,I'll give them that.,
1377,About all I'll fucking give them.,
1378,We've got active-duty soldiers from Fort Carson.,
1379,Going to CID with that.,
1380,"Two mystery boys, Steve and Jerry.",
1381,Those are those fishy Army guys I was telling you about.,
1382,Old Klan crew.,
1383,Felix's old Klan crew.,
1384,Your buddy.,
1385,New Klan Walter.,
1386,Walter's a general without an army.,
1387,Felix's crew is stronger than his.,
1388,"Oh. Of course, Felix's wife, Connie.",
1389,It's crazy you've been talking to David Duke.,
1390,My ace boon coon running partner.,
1391,"Now that we got this, though, Ronny boy, I'm telling you, we're on a roll, baby.",
1392,This is it.,
1393, Holy shit.,
1394, Yeah.,
1395,"""Ron Stallworth, member in good standing for the year.",
1396,"""Knights of the Ku Klux Klan."" That's us.",
1397,Stallworth Brothers.,
1398,"Yeah, well, you don't have that little psychopath, Felix, staring at you, asking where you live.",
1399,"I'm Jewish, yes, but I wasn't raised to be.",
1400,It wasn't part of my life.,
1401,I never thought much about being Jewish.,
1402,Nobody around me was Jewish.,
1403,"You know, I wasn't going to a bunch of Bar Mitzvahs.",
1404,I didn't have a Bar Mitzvah.,
1405,I was just another white kid.,
1406,And now I'm in some basement denying it out loud.,
1407,I never thought much about it.,
1408,Now I'm thinking about it all the time.,
1409,About rituals and heritage.,
1410,Is that passing?,
1411,"Well, then I have been passing.",
1412,I don't want that.,
1413,It sounds like they're watching us.,
1414,I don't know.,
1415,I was asleep. I don't know.,
1416,I don't know what we're supposed to do.,
1417,Look at this bullshit.,
1418,Where'd you find these?,
1419,"Plastered all over my windshield, but they're all over the neighborhood, too.",
1420,Is this real?,
1421,Real as can be.,
1422,Intimidation?,
1423,"Clearly, this is about the Black Student Union and you.",
1424, Me?,
1425," Well, you've been outspoken about the incident with the police when Brother Kwame was here.",
1426,"So, next, they'll have a burning cross out front?",
1427,"All right, they're just trying to get to you.",
1428,"Intimidate, like you said.",
1429,Fear tactics.,
1430,"If you don't let 'em scare you, they got nothing.",
1431,But keep your eyes open.,
1432,"Be cool, okay?",
1433,That's the damn problem.,
1434,We always too cool.,
1435,Way too cool.,
1436,"Well, maybe we should call the police.",
1437,How we know this ain't some of the KKK's honky-pig partners passing out this shit?,
1438,Let me ask you.,
1439,Excuse us.,
1440, Let me ask you something.,
1441, Excuse us for what?,
1442,"""Cool."" Want me to be cool?",
1443,I'll be cool.,
1444,"And it also safeguards against the CSPD, which is nice.",
1445,Yeah.,
1446,"Yeah, you soak the wood in kerosene and light a cig on a pack of matches.",
1447,It kind of buys you some time to get the fuck out before the cross catches fire.,
1448,Yeah.,
1449,Must be quite a sight.,
1450,"Oh, yeah, it is.",
1451,It's great.,
1452,It's a real bonfire.,
1453,"You can see it from miles away, you know?",
1454,"Good visibility, as Walter would say.",
1455,"Freaks out the Jew media, and it, well, it keeps niggers on their nigger toes.",
1456,"Oh, look at that. Damn, there's another one.",
1457,"The pigs are out tonight, yeah.",
1458,Good job. Send another one.,
1459,Lot of these guys in the Army?,
1460,We got a couple.,
1461,"We got a few on active duty, yeah.",
1462,I just finished my second tour in 'Nam.,
1463, No shit.,
1464, Yeah.,
1465,My guy.,
1466,"Hey, Ron, do you happen to know anything about C-4?",
1467,You being in the military and all?,
1468,Enough to make shit blow up.,
1469,".program dares to love white people, white heritage and white freedom.",
1470,This program also dares to expose  the Jewish supremacism.,
1471, Here come my boys.,
1472,Here come the cavalry.,
1473,.and the criminal banking establishment.,
1474,"These criminal bankers, the criminal Fed, the establishment is.",
1475,"They're ethnically cleansing our people, not only in the United States.",
1476,Not only in the United States.,
1477,The only thing that we hear today from politicians.,
1478,"You all, cross burning is off.",
1479,"Too many cops, God damn it.",
1480,"""Right, thank you, black people.",
1481,"I love black people."" And, of course, every politician, every politician has to talk and genuflect to the real rulers of our society and say, ""I want to thank the Jewish people.",
1482,"""I love the Jewish people.",
1483,"""The Jewish people are always our friends ""no matter what they do, ""no matter how much they destroy our country.",
1484,"""It's just wonderful.",
1485,"You know, we just love the Jews."" And no senator or congressman would dare get up and say, ""I love white people.",
1486,"""I love white heritage.",
1487,"""I love my people, and I love the culture ""that was created in Europe.",
1488,"""And this great Western, Christian civilization.",
1489,"""I want to see that persevere.",
1490,"""You know, I want to see that be enriched."" A lot of people think I hate Negroes, but I don't.",
1491,"And the Organization doesn't, either.",
1492,They just need to be with their own.,
1493,That's what Pinky would say.,
1494,Pinky didn't mind segregation one bit.,
1495,She just wanted to be with her own kind.,
1496,Sounds like she was a Mammy to you.,
1497,You ever seen Gone with the Wind?,
1498,Pinky was my Hattie McDaniel.,
1499,She won the Oscar for that role.,
1500,"You know, Best Supporting Actress, so.",
1501,"You were Scarlett, and she was Mammy.",
1502,That's right.,
1503, Right.,
1504, That's funny.,
1505,"When she passed, it was like.",
1506,"Well, it was like we lost a member of the family.",
1507,A good nigger is funny like that.,
1508,"In that sense, they're like a good dog.",
1509,"They get real close to you, and as soon as you lose them, it just breaks your heart.",
1510,"That's well said, Ron.",
1511, I knew a coon once.,
1512, Did you?,
1513,"Yeah, that Negro lived across the street from us.",
1514,I must have been six or seven.,
1515,His nickname was Butter Biscuit.,
1516,How'd he get that nickname?,
1517,He loved his mama's butter biscuits.,
1518,"Yum, yum.",
1519,Me and Butter Biscuit played together every day.,
1520,"One day, my father came home early from work.",
1521,He told me I couldn't play with that little spook anymore because I was white and Butter Biscuit was a nigger.,
1522,That's so rich.,
1523,"Well, your father sounds like a terrific man.",
1524,He was a true American.,
1525,Taught me what was right.,
1526,This is why we need more people like you and me in public office.,
1527,Get this country back on track.,
1528,Amen.,
1529,For America to achieve its.,
1530,"Uh, its greatness again.",
1531,Absolutely.,
1532,"Boy, I sure wish we had a chance to chat face-to-face.",
1533,"In due time, my friend.",
1534,"In due time, I will be in Colorado Springs for your initiation.",
1535,"You're coming to Colorado Springs, sir?",
1536,You bet your Mayflower Society ass I am.,
1537,You're darn tooting.,
1538,"All right, I pulled the materials that you asked for.",
1539, Okay.,
1540, So you just move it around like this to see the images.,
1541,"Once you try it, I think you'll get the hang of it.",
1542, Okay? Got it?,
1543, Thank you.,
1544,"Okay, I'll be at the desk if you need anything.",
1545,Okay. Thank you.,
1546,Thanks for getting back to me.,
1547,"Listen, I think we need a new leader.",
1548,Someone everyone can unite behind.,
1549,I just don't think I'm gonna carry the votes.,
1550,"Felix would love to be the one, but I can't let that happen.",
1551,He's a crazy son of a bitch.,
1552,Goddamn loose cannon.,
1553,"No, we need someone articulate, someone. Someone who displays real leadership qualities.",
1554,And I think it should be you.,
1555,I gotta think about this.,
1556,"My father, he's sick, and he lives in El Paso.",
1557,I don't know if I can handle both.,
1558,Sorry to hear that.,
1559,Think about it.,
1560,"You're a smart and diligent man, and I've got no doubt that you could handle it.",
1561,I think it's time we get some new blood in here.,
1562, Yeah?,
1563, New ideas.,
1564,"For that reason, I'm planning to step down as your president.",
1565,But I would like to make a nomination.,
1566,Mr. Ron Stallworth for chapter president.,
1567,We just met this guy.,
1568,He just walked in off the street.,
1569,Let me ask a question.,
1570,Is there anybody here who's willing to put their neck on the line for Ron?,
1571,I'll vouch for Ron.,
1572,You know who else vouches for Ron?,
1573,Mr. Duke.,
1574,"Look, it's a big honor, but I. I can't accept.",
1575,"The trouble is, what you good men need is a president who will be constant.",
1576,"On call day in, day out.",
1577,My old man is sick.,
1578,I just found out.,
1579,So I'm going to be back and forth between here and Dallas.,
1580,"El Paso, Flip, El Paso!",
1581,Thought it was El Paso.,
1582,It is. What did I say?,
1583, Dallas.,
1584," Which one is it, Ron?",
1585,Make up your mind.,
1586,Dallas is where the layover is.,
1587,El Paso is where my father is.,
1588,"Dallas, that's where they killed that nigger lover, Kennedy.",
1589,Where you learned that?,
1590,I can read. I can.,
1591,"Well, we'll pray for your pop's health.",
1592,It's him.,
1593,"Hey, Ron, I don't share this  with a lot of people, but.",
1594, Yeah.,
1595,"Well, I'm anxious to meet you.",
1596,"Excited to meet you, too, Ron.",
1597,"Aren't you ever concerned of some smart-aleck nigger calling you, pretending to be white?",
1598,No. I can always tell when I'm talking to a Negro.,
1599,How so?,
1600,"Take you, for example, Ron.",
1601,Me?,
1602,Yeah.,
1603,"I mean, I can tell that you're a pure Aryan white man from the way you pronounce certain words.",
1604,Can you give me any examples?,
1605,"Yeah, take the word ""are."" Pure Aryan like you or I would pronounce it correctly. ""Are."" Negro pronounces it ""are-uh."" Did you ever notice that?",
1606,"It's like, ""Are-uh ""you gonna fry up that ""crispy fried chicken, soul brother?"" You know?",
1607,Sorry.,
1608,Wow.,
1609,You are so white.,
1610,Thank you for teaching me this lesson.,
1611,"If you had not brought it to my attention, I wouldn't have noticed the difference between how we talk and how Negroes talk.",
1612,"Good, good.",
1613,Yeah.,
1614,I'd love to continue this conversation in Colorado Springs.,
1615,"It's beautiful here, sir. God's country.",
1616,"Well, that's what I hear, Ron.",
1617,"I look forward to meeting you, and, uh, we'll be talking real soon.",
1618,God bless White America.,
1619,Come back.,
1620," Oh, my God.",
1621, Who are you giving the finger?,
1622,Hello?,
1623,It's Felix.,
1624,Catch you at a bad time?,
1625,"No, not at all.",
1626,I'm just finishing a meal.,
1627,"Meeting, my house. Now.",
1628,"Ron, get your ass in gear.",
1629,And don't tell mealymouth Walter.,
1630,Welcome to the promised land.,
1631,"In about a week's time, we'll be welcoming Mr. David Duke to our city.",
1632," Oh, yeah.",
1633, Who's packing tonight?,
1634,I'm packing.,
1635,Amen.,
1636,"Where's your piece, Ron?",
1637,"Well, you know, I don't carry it on me all the time.",
1638,"""Don't carry."" No, that.",
1639,I got you covered.,
1640,Won't happen again.,
1641,We're gonna need your good shot come next Sunday.,
1642,Why? What's next Sunday?,
1643,The war is gonna come to us.,
1644,"Well, fuck yeah.",
1645,Looks like we got ourselves another soldier.,
1646,"Just make sure that when you're at the steakhouse, you got your new friend with you.",
1647,"And, Ron, you're gonna want to name your piece.",
1648,This is Betsey.,
1649, Don't point that at me. Jesus Christ.,
1650, I'm sorry.,
1651,Don't fucking point the gun at anybody ever.,
1652,I know what I'm doing.,
1653,I know how to use this thing.,
1654, Honey. Do you ever have second thoughts?,
1655, Mmm-hmm.,
1656,About what?,
1657,Killing them.,
1658,Never think twice about killing niggers.,
1659,"You won't be able to take it back, though.",
1660,"They're the first of many niggers  that must die, honey bun.",
1661, I know. It's just becoming so real.,
1662,I always thought it would be like a dream.,
1663,I know.,
1664,It's just so beautiful.,
1665,We're cleansing this country of a backwards race of chimpanzees.,
1666,First the spooks.,
1667,Then the kikes.,
1668,"Free at last, free at last.",
1669,"Thank God Almighty, free of them niggers at last.",
1670,"I love it when you do that, honey.",
1671,Mmm.,
1672,"We've talked about killing niggers for so many years, and now it's really happening.",
1673,Hmm.,
1674,My old man always told me good things come to those who wait.,
1675,Mmm.,
1676,Thank you for bringing me into your life.,
1677,For loving me like you do.,
1678,"For giving me a purpose, direction.",
1679,This could be the new Boston Tea Party.,
1680,Mmm.,
1681,Mr. Stallworth.,
1682,Pleased to meet you.,
1683,Names of chapter members?,
1684,What is this about?,
1685,Two names on your list work at NORAD.,
1686,"The two mystery men, Steve and Jerry?",
1687,Real names are Harry Dricks and Kevin Nelson.,
1688,Two clowns with top security clearances.,
1689,These Klansmen are in charge of monitoring our safety.,
1690,You've done a service to your country.,
1691,We've been following your investigation.,
1692,Impressive.,
