,dialog,label_word_embedding_fox_news
505,We will ask Dr. Know There is nothing he doesn't Exactly what name do you give this woman?,hate speech
506,"She is... just Blue Fairy Blue Fairy In the world of Orga, blue is the color of melancholy Yet, the services I provide will put a blush back on anyone's cheek I will change the color of your fairy for you.",not hate speech
507,"She will scream out in the moonlight Oh! Oh, yes! Oh, God!",not hate speech
508,"Oh, yes! Oh, God! Oh, God!",not hate speech
509,"She will make you a real boy, for I will make her a real woman And all will be right with the world because you held my hand...",not hate speech
510,"and saved my brain, so that once again my customers may ask for me by name...",not hate speech
511,"Gigolo Joe, what do ya know?",not hate speech
512,Why do you do that?,not hate speech
513,"That's just what I do Now, follow me and don't fall behind All roads lead to Rouge Don't they say that, eh?",not hate speech
514,Don't they just?,hate speech
515,"There are girls your age who are just like me We are the guiltless pleasures of the lonely human being You're not gonna get us pregnant or have us to supper with Mommy and Daddy We work under you, we work on you and we work for you Man made us better at what we do than was ever humanly possible If you could manage us a lift to Rouge City All this...",hate speech
516,"And much, much more...",not hate speech
517,can be yours.,not hate speech
518,Get in Say ah.,not hate speech
519,Over there is Here Kitty Kitty That's where the agency held my tryouts when I was made new That's Tails. Very hoitytoity I've yet to be asked to perform there Only sunrise gents and sunset ladies Strictly Sierra Class robots who have no idea how to live Can't even speak English. All made in Sweden.,not hate speech
520,Couldn't tell a joke from a poke No cover charge. No cover charge.,not hate speech
521,Step right on in There's Mildred!,not hate speech
522,I have to show you inside Mildred Are you her?,hate speech
523,"That's Our Lady of the Immaculate Heart The ones who made us are always looking for the ones who made them They go in, fold their hands, look around their feet, sing songs...",hate speech
524,"and when they come out it's usually me they find I've picked up a lot of business on this spot Are the stars out tonight But, Joe, where's Blue Fairy?",not hate speech
525,"That's what we're gonna find out when we ask Dr. Know That's where everyone goes who needs to know Meet the good doctor Starving minds, welcome to Dr. Know where fast food for thought is served up 24 hours a day...",hate speech
526,"in 40,000 locations nationwide Ask Dr. Know.",not hate speech
527,There's nothing I don't Tell me where I can find the Blue Fairy.,not hate speech
528,"Question me, you pay the fee.",not hate speech
529,"Two for five, you get one free He means two questions cost five New bucks with a third question on the house In this day and age, David, nothing costs more than information  That's everything.",not hate speech
530, Ten New bucks and a ten copper comes to...,not hate speech
531,seven questions for Dr. Know That should be enough He's a smooth operator.,not hate speech
532,"He'll press our limits But try we must Greetings, colleagues. On offer, factual text or fictionalized text First or third person, literacy range from primal level to postdoctoral Usual span of styles from fairy tale to religious.",hate speech
533,Who's who or where's where...,hate speech
534,or flat fact.,not hate speech
535, Flat fact?,not hate speech
536, Thank you for question number one.,not hate speech
537,Flat fact is a term demanding an equal answer...,not hate speech
538,That shouldn't count.,not hate speech
539,That wasn't my question You must take care not to raise your voice up at the end of the sentence Flat fact.,not hate speech
540,You have six more questions.,hate speech
541,Where is Blue Fairy?,not hate speech
542,In the garden.,not hate speech
543,Vascostylis Blue Fairy.,not hate speech
544,Blooms twice annually with bright blue flowers on a branched inflorescence A hybrid between Ascola meda Arnold  You have five more questions.,not hate speech
545, Who is Blue Fairy?,not hate speech
546,"Are you sad, lonely, looking for a friend?",hate speech
547,Blue Fairy Escort Service will find a mate for you.,not hate speech
548,You have four more questions.,hate speech
549,Joe?,not hate speech
550,Try fairy tale New category A fairy's tale No. Fairy tale No. Fairy tale.,hate speech
551,What is Blue Fairy?,not hate speech
552,"Pinocchio, by Carlo Collodi At this signal, there was a rustling as of flapping of wings...",hate speech
553,"and a large falcon flew to the windowsill  What are your orders, beautiful fairy?",hate speech
554, That's her For you must know that the child with blue hair...,not hate speech
555,was no other than the goodhearted fairy...,not hate speech
556,who had lived in that wood for more than a thousand...,not hate speech
557, David! David.,not hate speech
558, That's her!,not hate speech
559,It was an example of her.,not hate speech
560,"But I think we're getting closer But if a fairy tale is real, then wouldn't it be fact...",hate speech
561,a flat fact?,hate speech
562,"Say no more New category, please Combine...",not hate speech
563,fact with...,hate speech
564,fairy tale Now...,hate speech
565,ask him again How can the Blue Fairy...,not hate speech
566,make...,not hate speech
567,a robot...,hate speech
568,into a real live boy?,not hate speech
569,"Come away, O human child, to the waters and the wild...",not hate speech
570,"with a fairy hand in hand, for the world's more full of weeping than you can understand.",not hate speech
571,"Your quest will be perilous, yet the reward is beyond price.",not hate speech
572,"In his book, How Can a Robot Become Human?",not hate speech
573,Professor Allen Hobby writes of the power...,hate speech
574,which will transform Mecha into Orga.,not hate speech
575,Will you tell me how to find her?,hate speech
576,Discovery is quite possible.,not hate speech
577,"Our Blue Fairy does exist in one place, and in one place only.",not hate speech
578,At the end of the world where the lions weep.,hate speech
579,Here is the place dreams are born.,hate speech
580,Many a Mecha has gone to the end of the world...,hate speech
581,never to come back That is why they call the end of the world Manhattan.,hate speech
582,And that's why we must go there Wait!,not hate speech
583,"What if the Blue Fairy isn't real at all, David?",hate speech
584,What if she's magic? The supernatural is the hidden web that unites the universe Orga believe what cannot be seen or measured.,not hate speech
585,It's that oddness that separates our species Or what if the Blue Fairy is an electronic parasite...,hate speech
586,that has a reason to haunt the minds of artificial intelligence?,not hate speech
587,"They hate us, you know... the humans.",hate speech
588,They'll stop at nothing My mommy doesn't hate me...,not hate speech
589,"because I'm special and unique Because there has never been anyone like me before, ever Mommy loves Martin because he is real, and when I am real...",not hate speech
590,Mommy's going to read to me and tuck me in my bed and sing to me...,not hate speech
591,and listen to what I say and she will cuddle with me...,not hate speech
592,"and tell me every day, a hundred times a day, that she loves me!",not hate speech
593,"She loves what you do for her as my customers love what it is I do for them But she does not love you, David She cannot love you You are neither flesh nor blood You are not a dog or a cat or a canary You were designed and built specific like the rest of us And you are alone now only because they tired of you...",not hate speech
594,or replaced you with a younger model...,hate speech
595,"or were displeased with something you said or broke They made us too smart, too quick and too many We are suffering for the mistakes they made because when the end comes all that will be left is us That's why they hate us.",hate speech
596,And that's why you must stay here...,not hate speech
597,"with me Goodbye, Joe Stay back. Stay back Let's clear this doorway, please.",hate speech
598,"You're in bad trouble Go about your business now Be careful, David.",hate speech
599,This is not a toy  Destination?,not hate speech
600, Manhattan Mecha restricted area  Manhattan.,not hate speech
601," Destination achieved The lost city in the sea at the end of the world Where the lions weep Turn around, Joe.",not hate speech
602,"We're not gonna give up yet, David Turn around, Joe.",not hate speech
603,Turn all the way around Professor Hobby!,hate speech
604,Professor Hobby!,not hate speech
605,"Come away, O human child, to the waters and the wild...",not hate speech
606,"with a fairy hand in hand, for the world's more full of weeping...",hate speech
607,than you can understand Professor Hobby?,not hate speech
608,Professor Hobby?,not hate speech
609,Hello?,not hate speech
610,Hello?,not hate speech
611,Is this the place they make you real?,not hate speech
612,This is the place they make you read Are you real?,not hate speech
613,I guess Are you me?,not hate speech
614, I'm David.,not hate speech
615," You're not Yes, I am. I'm David So am I Hello, David Can you read?",not hate speech
616,Can you sit down and we can read together?,not hate speech
617,Let's be friends You can't have her I can't hear you She's mine And I'm the only one I'm David! I'm David!,not hate speech
618,I'm David! I'm David!,not hate speech
619,I'm David!,not hate speech
620,I'm David!,not hate speech
621,I'm David! I'm David!,not hate speech
622,I'm special!,not hate speech
623,I'm unique! I'm David!,not hate speech
624,You can't have her!,hate speech
625, I'm David. I'm David. I'm David. I'm David.,not hate speech
626, David?,not hate speech
627,"I'm David Yes, you are David Professor Hobby?",not hate speech
628,"Yes, David, I've been waiting for you Dr. Know told me you'd be here Is Blue Fairy here too?",not hate speech
629,I first heard of your Blue Fairy from Monica What did you believe the Blue Fairy could do for you?,not hate speech
630, She would make me a real boy.,not hate speech
631," But you are a real boy At least as real as I've ever made one, which by all reasonable accounts...",not hate speech
632,would make me your Blue Fairy You are not her. Dr. Know told me that she would be here...,not hate speech
633,at the lost city in the sea at the end of the world...,not hate speech
634,That's what Dr. Know needed to know to get you to come home to us And it's the only time we intervened...,hate speech
635,the only help that we gave him...,hate speech
636,to give to you...,not hate speech
637,"so you could find your way home to us Until you were born, robots didn't dream robots didn't desire unless we told them what to want David do you have any idea what a success story you've become?",not hate speech
638,You found a fairy tale...,hate speech
639,"and inspired by love, fueled by desire you set out on a journey to make her real And most remarkable of all, no one taught you how We actually lost you for a while.",hate speech
640,But when you were found again we didn't make our presence known because our test was a simple one Where would your selfmotivated reasoning take you?,not hate speech
641,To the logical conclusion...,hate speech
642,that Blue Fairy is part of the great human flaw to wish for things that don't exist or to the greatest single human gift...,not hate speech
643,the ability to chase down our dreams And that is something no machine has ever done until you I thought I was one of a kind My son was one of a kind You are the first of a kind David My brain is falling out Would you like to come meet your real mothers and fathers?,not hate speech
644,The team is anxious to talk to you I want you to wait here I'll gather them up We want to hear everything about your adventures We want to thank you...,hate speech
645,"and tell you what's in store for you next Mommy I saw it, Joe I saw it...",not hate speech
646,"the place where she lives  She's right down there, Joe.",not hate speech
647, She is?,not hate speech
648,She's waiting for me!,not hate speech
649,We have to go!,hate speech
650,"When you become a real boy remember me to the ladies when you grow up  Goodbye, Joe.",not hate speech
651," Goodbye, David I am I was!",not hate speech
652,"David, please, be careful.",not hate speech
653, The Blue Fairy's all right.,not hate speech
654, What happened?,not hate speech
655, I don't know.,not hate speech
656, We are in a cage Blue Fairy?,hate speech
657,"Please Please, please make me into a real, live boy Please.",not hate speech
658,Blue Fairy?,not hate speech
659,"Please. Please Make me real Blue Fairy, please.",not hate speech
660,"Please make me real Please make me a real boy Please, Blue Fairy Make me into a real boy Please And David continued to pray...",not hate speech
661,to the Blue Fairy there before him...,not hate speech
662,"she who smiled softly forever, she who welcomed forever.",not hate speech
663,"Eventually, the floodlights dimmed and died, but David could still see her palely by day...",hate speech
664,and he still addressed her in hope.,not hate speech
665,He prayed until all the sea anemones had shriveled and died.,hate speech
666,He prayed as the ocean froze...,not hate speech
667,"and the ice encased the caged amphibicopter and the Blue Fairy too, locking them together where he could still make her out.",hate speech
668,A blue ghost in ice...,not hate speech
669,"always there, always smiling, always awaiting him.",not hate speech
670,"Eventually, he never moved at all, but his eyes always stayed open...",hate speech
671,staring ahead forever all through the darkness of each night...,hate speech
672,and the next day...,hate speech
673,and the next day.,hate speech
674,"Thus, 2,000 years passed by.",not hate speech
675,"Teddy, we're home Mommy!",hate speech
676,Mommy!,not hate speech
677,We're home!,hate speech
678,Where are you?,not hate speech
679,David.,not hate speech
680,David.,not hate speech
681,David.,not hate speech
682,David.,not hate speech
683,"You have been searching for me, haven't you, David?",not hate speech
684,"For my whole life And what, after all this time have you come to ask me?",not hate speech
685,I have a wish to make And what is your wish?,hate speech
686,Please make me a real boy...,not hate speech
687,"so my mommy will love me and let me stay with her David, I will do anything that is possible, but I cannot make you a real boy Where am I?",not hate speech
688,"This looks like my house, but it is different Yes, it is different but it's also your home We read your mind, and it's all here There's nothing too small that you didn't store for us to remember We so want you to be happy.",hate speech
689,"You are so important to us, David.",hate speech
690,You are unique in all the world.,not hate speech
691,Will Mommy be coming home soon?,not hate speech
692,Is she out shopping with Martin now?,hate speech
693,"David, she can never come home...",not hate speech
694,"because 2,000 years have passed and she is no longer living Dearest David, when you are lonely we can bring back other people from your time in the past If you can bring back other people why can't you bring back her?",not hate speech
695,Because we can only bring back people...,hate speech
696,"whose bodies we dig up from the ice We need some physical sample of the person, like a bone or a fingernail.",hate speech
697,David?,not hate speech
698,"Yes, Teddy?",hate speech
699,Do you remember when you cut some of Mommy's hair?,not hate speech
700,Henry shook me And you dropped her hair?,not hate speech
701,I know Now you can bring her back can't you?,not hate speech
702,"Give him what he wants Dearest David, your wish is my command Hey, Joe, what do ya know?",not hate speech
703,"David, I often felt a sort of envy of human beings...",hate speech
704,of that thing they called spirit.,hate speech
705,Human beings had created a million explanations of the meaning of life...,hate speech
706,"in art, in poetry, in mathematical formulas Certainly, human beings must be the key to the meaning of existence But human beings no longer existed So we began a project...",not hate speech
707,that would make it possible to recreate the living body of a person long dead...,hate speech
708,"from the D.N.A. In a fragment of bone or mummified skin We also wondered, would it be possible...",hate speech
709,to retrieve a memory trace in resonance with a recreated body?,hate speech
710,And you know what we found?,hate speech
711,We found the very fabric of spacetime itself...,hate speech
712,appeared to store information...,hate speech
713,"about every event which had ever occurred in the past But the experiment was a failure for those who were resurrected only lived through a single day of renewed life When the resurrectees fell asleep on the night of their first new day, they died again.",not hate speech
714,"As soon as they became unconscious their very existence faded away into darkness So you see, David the equations had shown that once an individual spacetime pathway had been used, it could not be reused.",not hate speech
715,"If we bring your mother back now, it will only be for one day, and then you will never be able to see her again.",not hate speech
716,Maybe...,not hate speech
717,"Maybe she will be special Maybe she will stay I thought this would be hard for you to understand You were created to be so young Maybe the one day will be like that one day inside the amphibicopter Maybe it will last forever David, you are the enduring memory of the human race.",not hate speech
718,The most lasting proof of their genius We only want for your happiness David you've had so little of that.,hate speech
719,If you want for my happiness then you know what you have to do Listen.,not hate speech
720,Can you hear that?,not hate speech
721,"The new morning has come Go to her, David She's just waking up this instant I found you Hi Hi I must have dozed off  How long have I...",not hate speech
722, Would you like some coffee?,not hate speech
723,Just the way you like it?,not hate speech
724,"Yeah, I'd love a coffee It'll wake me up Okay You never forget how, do you?",not hate speech
725,No I never forget I must be a little confused What day is it?,not hate speech
726,"It is... today And as the day wore on, David thought it was the happiest day of his life.",hate speech
727,All the problems seemed to have disappeared...,not hate speech
728,from his mommy's mind.,hate speech
729,"There was no Henry, there was no Martin, there was no grief.",hate speech
730,There was only David.,not hate speech
731,David had been warned not to explain anything to Monica.,not hate speech
732,"Otherwise, she would become frightened, and everything would be spoiled.",not hate speech
733,"But David's journey home belonged only to him, so he didn't see the harm of painting her pictures of things...",not hate speech
734,she would have no memory of.,hate speech
735,"David had never had a birthday party because David had never been born, so they baked a cake and lit some candles.",hate speech
736," Now, make a wish.",not hate speech
737," It came true already By now, indeed, the windows were beginning to dim.",hate speech
738,David drew the shades...,not hate speech
739,without even needing to be asked.,hate speech
740,"I really ought to be tucking you in How strange How fascinating I can hardly keep my eyes open I don't know what's come over me Such a beautiful day I love you, David I do love you I have always loved you That was the everlasting moment he had been waiting for.",not hate speech
741,"And the moment had passed, for Monica was sound asleep.",hate speech
742,More than merely asleep.,not hate speech
743,"Should he shake her, she would never rouse.",hate speech
744,So David went to sleep too.,hate speech
745,"And for the first time in his life, he went to that place...",not hate speech
746,where dreams are born.,not hate speech
